P00352,O60356
P23528,Q16659
Q9GZR2,O15213
P61160,Q9Y371
O60503,P51828
Q9NTI5,P31944
O96000,Q8IWF7
Q8N143,P60409
Q69YN4,Q6FI13
Q9BVK2,P54219
Q86X19,Q6ZQN7
O00443,Q6IAA8
Q9HCH3,Q9NUK0
P22735,P48539
Q15746,P04181
P09972,Q9NTK5
Q9Y6M1,Q8IZH2
P43357,Q5T9A4
Q9H0W5,Q13835
P50222,Q99750
Q13131,Q86V88
Q16401,P48556
Q9H7N4,P19388
P01116,Q70CQ4
P61587,P09543
O94992,Q9Y5Y2
P62736,P02585
Q9H8V3,P13797
Q13523,Q8WXX5
Q9NS68,Q9UBG3
Q5T686,Q5JS54
P04150,O43175
P13667,P11717
Q7L1W4,Q9NPD3
P67936,Q01628
P27348,Q13105
Q6P2Q9,Q96HS1
Q13627,Q5T749
Q8TAE8,Q9P015
Q13084,Q9Y5T4
Q04695,Q99460
Q05952,Q9BYR9
P41219,Q9BT92
Q9UHL9,Q9UJ78
O14595,Q14244
O14964,O43186
P19784,O00257
Q6UX01,Q8TB61
P36897,Q9UMR7
P78362,Q9UKN8
Q12906,P62244
P04899,Q86UT6
Q8NHJ6,Q96MT1
Q9Y230,Q9UQL6
Q9UMS4,O75147
Q9NRC8,P62241
Q92905,Q8TC07
A6NHR9,P25440
P04637,O14965
Q86TM6,P07307
P62166,O95868
P63208,P04908
Q9UM54,Q99759
Q9UBU9,Q10472
O15357,P12236
P60842,P47985
O96019,Q6P4R8
Q9ULY5,Q9BY77
P51784,P05412
Q9NQB0,Q93062
P16871,O95183
Q93045,Q9GZQ3
Q9Y275,Q7RTS9
Q8TB96,Q9Y2R5
P61586,Q7Z7G8
P30153,Q6UX01
Q96CV9,P49005
Q9H596,P52209
Q92538,Q8TAD4
Q00765,Q9HD20
Q9BUQ8,Q8IYB3
Q9UNE7,O94953
P20290,P62807
P25791,P52435
A8MVS5,Q8ND76
P23528,Q16384
P04843,Q9H330
P02786,Q4G0W2
Q8IUZ0,Q9BSH3
P99999,P29218
O95084,Q9H0H5
P62633,Q9Y6M1
O14773,Q96E52
A0FGR8,Q8N144
Q92625,Q96LD4
Q9BY14,P55769
O15105,O95630
Q9Y265,P01106
Q8TDM6,Q9P0V9
P02751,P34741
P08572,P12757
Q13489,Q9BW92
P62736,P10092
Q15058,Q9NQ90
Q13084,Q9NYK5
P31947,Q969H0
Q86VP6,Q13283
P42704,Q6P1L8
Q15654,Q6NXE6
P37231,Q9UBK2
P27348,Q53SF7
Q96KC8,Q96SK2
Q14738,P15927
Q6PJG9,P0C7P0
P21462,Q7RTS9
Q92731,P68032
P27708,P42858
P50750,Q14247
Q9H6Z9,Q9P0J7
Q9BW92,O60664
P47902,Q9NYV4
O75131,Q86V88
Q86VM9,Q15019
Q14258,Q13206
O95235,Q7Z7L9
Q6PL18,Q13185
Q9ULJ7,P56182
Q15388,O94826
Q9UQM7,Q9Y3M2
Q7Z6Z7,Q9H1H9
Q04206,Q5VVH5
O14880,Q6UW68
P54578,Q69YQ0
Q9NSU2,Q8TBB6
Q7L2J0,Q9BXS6
Q9BY67,P60900
P62837,Q9H8W5
Q9H4M7,O43776
Q92794,Q8WYH8
Q01082,Q14203
Q15172,Q9BWN1
Q8NBN3,Q6P5W5
P36896,O60637
Q5QNW6,Q2MKA7
Q9UJX5,Q6ZW49
Q8TEU7,O95477
Q9HAN9,P62807
P35226,Q14966
Q9P2N5,P22749
Q9H4E5,O95405
Q8IWL3,Q9HB40
Q9H6Z9,Q9NP61
Q9HAU4,Q9NYN1
P23396,Q13617
Q02750,P36894
P12235,Q9NPI1
Q6R327,P19338
Q69YN4,O00139
P16070,Q8IZE3
Q86YD3,Q9BWS9
Q08211,Q01844
P63000,Q9ULE6
Q14008,Q9P270
Q01082,Q504Q3
Q01814,Q9NYW3
P50542,Q9UJC3
Q12879,Q9NUQ7
P23458,Q9HCK5
O00212,O15031
Q8TDY2,Q92841
P42336,Q9NP78
Q16595,Q13428
P09651,Q9UNQ2
P62491,Q9UPT5
Q9NP79,Q9Y3E7
Q969Q0,P22492
P09622,Q16540
P62140,Q9H6T3
Q9C0F3,Q969Q1
Q13501,P61927
Q14978,P42167
P50914,Q8TDD1
Q9UHB6,P62993
Q9Y605,Q9BVG8
O43639,Q8TF74
P30153,Q9BQ15
Q8NFF5,Q9Y6E7
P27449,Q07108
P84022,Q13642
Q01804,Q96I24
Q9Y6K9,O15488
P61244,Q86YR7
O00329,P15391
Q14258,O95373
Q9NUM3,Q9UIQ6
P19174,P43405
Q15669,Q13586
P26373,O15042
Q02878,Q14999
Q86WV1,O43824
P78314,O75147
Q01995,P61970
O60343,Q99549
P15927,P09651
O75365,P08708
P09758,Q9NRY2
Q6W2J9,P62807
Q00987,P48735
P08195,P10620
Q00532,P28074
O75607,Q9BQG0
Q9UBU9,Q8WWB5
Q92905,Q3SXM0
P21333,Q9UMS6
Q15365,O60739
P08670,O00468
Q13618,Q4VCS5
Q15198,P46060
Q6R327,P42345
P06748,P06239
Q15717,P49721
P12694,Q9NU23
Q70UQ0,Q8N302
P50750,P46782
P08134,Q9P2E9
Q03188,Q9NVM6
P08621,Q9BWJ5
O14983,Q9H089
Q8NDT2,Q92800
P01106,P15408
Q92522,Q8IUE6
Q15714,O94832
Q15198,Q2NKQ1
P21860,P08631
P17931,P56199
P45983,Q16829
Q6PKG0,Q02878
Q9H4M7,Q14160
Q12967,P34810
P40227,Q9BQA1
Q9HBH0,P48029
P61019,Q99755
P35579,A1L390
Q14258,Q9H361
Q8NBF2,P49189
Q3ZCQ8,P17098
Q9Y2R4,Q16778
Q12849,Q5TC12
Q07021,Q9NVS2
Q8WWV3,Q16740
Q9NVI7,P15735
P09972,Q96GW9
Q05952,Q9BWU0
P29966,Q8TAS1
P62805,P15336
P26599,Q9HCE1
P29084,Q96C19
Q9NPF0,Q9Y5M8
P30518,O95169
P42262,Q01082
Q6UB35,Q12931
Q5JR59,Q10567
Q4G0J3,P30153
P27986,P29466
Q15072,Q02509
Q9BYN8,Q9Y3D7
Q8IVT5,Q9Y448
Q07627,P43897
Q9ULR0,Q69YN2
P50402,Q9BVC6
Q5TC12,Q969S9
P02545,P17029
Q9NR30,Q7KZN9
P54253,Q9Y5P3
P60891,O60551
Q03518,O00400
O95071,P51668
P35568,P14784
Q15651,P49585
Q9Y697,P01178
O43909,P56556
Q4G0J3,Q99877
P51991,Q96BP2
Q12824,O95644
Q9Y490,Q8NBF2
P27694,Q96KQ7
P21709,O00471
Q69YN4,O43166
Q8TBB1,P61088
Q07960,Q9NYP7
Q9H6Z9,P35998
O00571,Q99608
O60293,Q5VTE6
Q9H307,O00541
O95273,Q96C28
Q7Z417,Q5T7P3
P56945,P04075
P35052,Q14444
Q92769,P63010
P10599,O00429
Q13137,Q9Y315
Q8IV08,Q8NBQ5
Q13131,Q8N122
P35372,Q7Z3U7
P78347,P68032
Q5SW79,Q99608
Q96ME7,Q9BWE0
P62714,Q9HBL8
P61077,Q9UMS4
P04150,Q9UBM7
Q99986,P49756
P08559,P05026
P35222,O14745
Q08043,P35452
Q15717,P54727
Q05925,Q6ZW49
Q13310,Q14240
O00182,Q9Y3T9
Q13573,O00409
Q9H8V3,Q53EZ4
Q07666,Q8N3X1
P07099,Q8WU17
P61587,Q8IUW5
P50990,A6NCF5
Q99519,P61009
O14578,P52746
Q9P0S3,Q9NYG8
Q9NR30,Q8IXZ2
P00519,O43900
Q8NFZ5,Q9P2M4
P46783,Q9NY93
Q92569,Q6ZUJ8
Q9UNS1,Q99788
Q96EZ8,P60409
O15519,P58107
Q9C0C9,Q92914
Q14258,Q96M94
O60885,Q7RTV0
P35527,Q6UY01
O14610,Q00722
P09958,P08754
P20700,Q96C86
Q9Y2P4,Q6NXE6
Q15058,Q8WVV9
P02549,P58505
P46781,P32969
P00533,P01040
Q86TW2,Q9HBV2
Q9Y679,Q8TCJ2
P03372,P62910
A0FGR8,P01116
Q14315,Q96D71
P10147,P51685
Q14126,O60664
P41091,P54136
P49450,Q13129
Q96C86,Q96EE3
P61088,O14950
P48426,Q7RTN6
Q12824,O00712
P00533,Q9UQ35
P10636,P18124
P34932,P22102
O14964,Q9Y6H6
Q9NRC8,Q92945
Q9NRI5,Q9H1K0
P38398,Q9NPD8
Q96RS6,O94952
P62136,O15169
Q93096,Q9Y262
Q15084,P52655
Q12800,Q9ULT8
Q9UMR2,Q86X59
P63165,P19338
Q8WTS6,P47914
Q96NB2,O75636
Q9H0R8,Q9UH92
Q13509,Q9H4B7
Q15915,P25815
P04792,Q8N5S9
Q9HCD5,Q92879
P50416,Q9Y5F6
P35221,Q9NQ25
Q9HB71,Q12888
Q16539,P47914
Q9NRC8,Q16656
Q9Y5B9,P06702
P60981,O95425
P51114,Q9NQZ8
P14616,P48735
P05771,O43615
P15153,O00308
P60409,P41222
Q9UNS2,Q8N9I0
O43765,Q9UMW8
Q5SW79,Q8IX90
P07949,P46934
P61586,P16070
P62491,Q86UP2
O43543,Q9HC57
P13569,Q8IXI2
O75815,Q86V15
Q15773,P59046
Q96DA6,Q504Y0
Q92730,Q8TDM6
Q9ULR0,Q86YD7
Q4G0J3,Q96DV4
O00322,O75146
P27694,P33993
Q9NVV9,Q96SI9
Q969H6,O95059
Q96A22,P46531
Q96SQ9,Q68DA7
Q5TC82,Q9BYJ9
Q9NU19,P31151
P32322,Q99797
O14936,Q8N9E0
Q8WUA4,Q8N9B8
Q99459,Q13618
P49736,P18124
Q6P5Z2,P47901
O60462,O60403
Q16555,Q9UIA9
Q08379,Q8TEC5
Q9P0L0,P27105
Q96EY4,Q8NAV1
P31943,O94972
O95816,P54252
P01871,Q86TW2
P62993,P08238
Q9UPN9,O43852
Q15293,P50225
Q9UQ35,O60942
Q9NRR5,Q5T8D3
P42229,O75928
Q8TAA5,P22033
O95235,Q8NF91
Q13296,P68366
Q9H4M7,P08621
O95863,P53396
P46781,O60832
Q92870,Q8WY64
Q9H3N1,O43286
P06748,Q13617
Q5TBB1,O96005
P56385,Q9NPL8
P57078,Q9BRX2
O94761,Q9UJ70
Q5SRI9,Q96KN2
Q15121,Q13555
P02751,P06493
Q9Y279,P98194
Q9P2E7,P55899
Q8IVM8,Q8NE01
P27487,Q9NYL9
P40926,P49789
P05771,P48551
P31944,Q6UX39
Q9P0L0,Q9NS71
P34931,P78380
Q15118,Q15031
Q92769,Q3KNW1
Q13501,Q13151
O15355,Q6FI13
P50502,Q99829
Q7L590,Q9H5V7
Q13148,P49116
O76070,P34947
P62258,Q07021
Q96H55,P21796
Q1KMD3,Q9BZJ0
P62081,O00567
Q69YN4,Q96IR2
P49450,Q9NSV4
P49116,Q9UBF2
O75400,Q5HYN5
Q9NWT1,O75569
P23528,P61026
Q13422,Q13617
P62877,P20248
Q96IJ6,Q9Y5P6
Q07021,Q6Y2X3
P51946,A6NMK7
Q13571,Q92995
Q6UX01,O75845
O43586,P0C7W6
P60709,O15143
Q3ZCM7,Q96JB6
Q99683,P45379
Q9UKF6,Q9Y2Q3
Q14534,Q9Y6C5
P14866,Q8IZ41
P15172,Q8IY57
P48431,Q9Y221
O60674,P19174
P21731,P41595
Q9HCN8,Q8IXK2
Q09472,Q6NXE6
P04899,Q8IVA1
Q9NVJ2,O76027
Q13547,P15172
Q13489,P18031
Q9UNH7,Q9BTT0
Q96ST3,Q99471
P62701,Q13418
Q07955,P84103
O75683,Q9UPE1
Q96RK0,Q8N1G0
P62304,O95400
P23763,Q9Y282
Q8IXI2,O14842
P05067,Q13112
Q9UPT9,Q70EK9
Q9H0W5,P46940
A0AV96,Q9H7E2
P13010,O43149
P49810,Q92947
P01112,O15162
P60953,Q9Y2J2
Q8TEM1,Q13438
Q68D86,B2RXF5
P09758,P42345
Q9NRZ9,P00740
Q96B26,Q12986
Q9UI09,Q9H300
P30203,P19447
Q8TEP8,Q96F86
Q9Y297,Q6PGQ7
Q9HCM4,Q9UJ70
Q9UBS0,P62847
Q7L8L6,O14842
Q99832,Q8TEB1
Q9BQ66,Q9BYR9
P84243,P45973
Q9C0J8,Q13595
P54829,Q8WVC6
Q9Y5B9,Q92541
P55072,Q04917
Q9H4M7,P68366
P51116,P51679
P80188,O95243
P35241,O00299
P48426,P51608
Q9H1B7,P27707
O95071,Q9UKL0
P53041,Q8IY57
Q9H6D7,Q66GS9
P32322,A6NJ78
P62081,Q86XR8
P09234,O14879
P54578,Q02978
Q69YN4,P41162
O96006,Q9UBT7
Q9H0W5,Q6ZRV2
P14866,O75674
P51572,Q9Y6C9
Q6EMK4,P60410
Q9Y6G3,O00425
Q3B820,Q96RU7
Q13489,O60506
Q8IZD4,Q96KS9
P62330,P53365
P12956,O43290
Q4G0J3,Q8N5P1
P14317,Q9BQ31
Q9NWS0,P62244
Q13393,Q6IAA8
Q02543,Q15361
Q9H6D7,Q9P031
P47901,Q9NZ56
P36507,Q96AG4
P08134,Q86SQ0
Q7KZF4,P20794
O00401,P46940
Q8ND90,Q9H1D0
O14786,Q13232
Q86VM9,P14625
P28799,Q9UK22
Q9Y6M1,Q96AK3
P01112,P51617
Q70CQ3,Q6UWJ8
Q9BXM7,Q92843
P04843,Q8NBN7
P49841,P15121
Q96KQ7,O60248
P20226,O00268
P41970,Q9HAF1
P17021,O15397
Q9Y244,Q6PJQ5
Q9UHR4,O95229
O95600,Q8N823
P62826,P49459
P31946,Q8NFH8
P54252,Q9Y5A9
P14866,P01308
P50750,P08631
P19174,Q05996
Q9Y277,P14625
Q9H0W5,P07948
P04629,P27707
Q9UIR0,P21709
P17020,Q13185
Q9BTN0,Q9Y2A9
O60885,Q9NX58
P62829,Q9BVS4
Q8NFL0,Q9NQZ7
Q8WXW3,Q96SN8
P01100,O60869
P00533,Q14566
Q86VK4,P0CAP1
Q9H0R8,Q16527
Q9GZX7,Q9UMR2
P04908,P05114
Q13485,Q96MW1
P49459,Q8WVC0
Q96QT6,Q9BTC8
P14866,P00966
Q5XPI4,Q9H7N4
A8MW92,O75792
Q8IUG1,P54646
O60264,O00479
Q99569,O15294
P49356,P22413
Q99848,Q9Y2H9
P49585,Q9NZL9
Q14103,P02008
O75031,Q9UIF8
P42574,P55212
P13797,Q9UBN6
Q9Y3B7,Q14498
Q96FW1,P27694
Q00534,O75553
P35226,P48643
P04440,P01042
P34059,Q9UBV4
P61081,Q9BTE7
P01100,P24385
Q13564,Q9GZZ9
P01112,Q96BY7
O43251,Q9H0Z9
Q7L5Y9,Q6PDA7
Q9BYV2,Q96PN8
Q6UWN0,Q14674
A6NKD9,O94953
Q9NPI1,P51570
P35241,Q99819
P46379,P30084
O15118,Q93050
Q4G0J3,Q9HCC0
P30307,Q96QZ7
Q9Y6K9,Q15628
P68133,O15020
Q9Y5K5,Q9UNM6
P98198,Q4KMZ8
P42858,Q99436
Q9HBD1,P10599
P61587,Q13492
P98164,P20339
P14373,Q9H857
Q6P9H4,Q9NX08
P00338,P12268
Q01433,Q3LI64
P15941,Q5HYA8
P78317,Q9P2F9
P82663,Q9Y5T4
Q9BZJ0,Q56P03
Q03252,A8K8P3
P51812,Q9UJY4
O95613,Q8TEP8
Q14203,Q9UHY8
Q96KQ4,O43295
P04406,Q13554
P46734,Q9UKV8
Q6PK04,Q7Z7K2
O75525,Q86VE0
Q13526,Q96AA8
P61956,P05114
Q96EB6,Q08050
P49023,Q14789
Q8IZU1,Q9NVV9
O95619,Q86VZ6
P06396,Q7KZN9
P24863,Q6E0U4
O14802,Q9HCN4
P04150,P02647
P63279,Q01826
Q9H0W5,Q9Y230
O00308,Q969Q0
P19022,P35236
Q12888,P32780
Q99873,Q96RI1
Q8WYL5,Q9Y4I1
O95202,P26439
O95994,Q9P2J5
Q5T3I0,O95478
Q5SNT2,Q99675
Q9UHB6,O95696
Q9H944,Q8IUR0
Q12888,Q8N9R8
P07948,P01023
P05109,O60383
Q9HCN8,Q9BZ76
P10589,Q15562
Q13601,Q9UGY1
Q8TEA7,Q9NQ89
Q9UBK5,Q13885
P60484,Q96PU4
Q9HBD1,P47914
P01112,Q01082
Q00987,P62826
P47755,Q9H0H5
P16234,Q9H0M0
P14136,Q8IXJ6
O95292,Q86WH2
P10275,Q15583
P61236,Q99666
P04629,Q9BW92
Q9NR56,P16401
P20333,Q14684
P15153,Q13637
O96020,Q9UM13
Q07065,Q5BJH7
P17980,Q9BXJ9
P63220,P48556
Q86UY6,Q9Y6Y8
O14880,O14548
Q15058,O75083
Q8IW93,Q8N567
P13639,P07919
Q69YN4,P09884
Q9UIR0,Q8WU67
Q96HY6,O60506
Q14151,O60504
Q8TDC0,O75112
P41182,Q9BRX9
O75964,P49748
Q15075,Q9H3S7
P51957,P42677
P62314,O14744
P15056,P36507
Q9HBD1,Q96PK6
P38919,Q86V81
Q9Y2X7,Q9UJC3
Q9Y297,O14497
P08133,Q9NRF9
Q13451,P21127
P12956,Q99986
O95402,P19388
P06241,P36888
Q7L014,Q96EA4
P12035,Q9BVG8
Q5VT52,Q14676
P14770,Q86UL3
Q9BZV1,Q9UJY1
P40227,Q9NXB0
O75439,P51398
Q13291,Q9NYQ6
Q9UKG1,Q9Y3I0
P19784,O14641
Q13444,P37198
P78527,Q9NZD1
Q9NRN7,P78406
P35712,Q9UBB5
Q9Y4K3,P11586
Q9H4M7,P04075
P52333,O75886
Q9H444,Q14789
Q9H5K3,Q7Z3U7
Q99996,O60225
P78371,Q96JB6
A0FGR8,Q13586
Q27J81,Q92685
Q96BH3,Q9BTN0
Q96SB3,Q07890
Q3B820,Q8NF50
Q99623,Q96T76
Q8WXF0,Q8TEH3
Q13098,Q92466
Q69YN4,P0C0L4
Q96CF2,Q9H4B7
P13569,P13645
Q92630,P23497
Q01804,P29558
P04629,O94888
P14866,O43307
P26599,O94844
Q9BRP4,Q9NWV8
O95235,Q6PFW1
Q8TBK6,P35268
P34932,Q9Y6X1
P46379,Q8WW22
Q15811,P04040
P78317,P35052
P0C0S8,Q99575
P00519,O75896
P51965,Q8IYW5
P10244,P78396
Q8WXE1,Q99788
P06576,P60520
Q2HXU8,Q14332
O60333,P15976
P10412,P16401
O43663,P00403
Q9H583,P78395
O60884,Q13137
Q93045,Q9UL62
P41440,Q969X5
Q14847,O43426
O95831,Q99714
O95255,P53597
Q14697,Q9GZZ9
P62140,P62873
P08758,Q15139
P32242,Q5T4B2
P61956,Q7L2H7
Q99569,P33151
P14866,P63104
P62136,Q13315
Q9Y5Y5,Q9NY72
Q9BZE1,Q969S9
P63000,O60884
P56134,Q9UGJ1
P21741,P22735
Q6S5H5,Q6S8J7
Q68DH5,Q96D31
P06748,Q96FX7
P84098,Q9BYC8
Q4G0J3,Q15646
Q9Y3S2,Q8N2W9
Q15392,Q9BUN8
Q8TEQ6,P62304
P35222,Q9ULB4
P14866,Q9NZ94
Q15831,O60729
Q9Y5K5,P08727
P68363,P49841
Q9H3Z4,Q13433
Q8IY95,Q6P5W5
P61956,P15408
Q13541,Q8N122
Q9NVH2,Q5TA45
Q15022,Q12830
O75530,P62266
P18124,Q96FI4
Q16610,Q7L190
Q9H1C4,Q9NQQ7
Q12931,P27144
Q02750,Q86Y07
O43752,O15155
Q13620,Q53RE8
P04271,Q96JB3
P05067,Q9NZR1
P02545,O94906
Q86VM9,Q99755
Q03135,Q8IVF2
Q9H7H0,P56181
Q15717,O00409
Q96P53,Q2NKX8
P60709,P38919
Q16540,Q9NPE2
P62491,Q9H1H9
P49736,P20618
Q9BQE3,Q9Y5M8
Q8IXK2,Q02297
P35226,P14859
Q12972,Q00444
P32241,Q6Y1H2
Q8TDN6,Q13618
O75083,Q5JS54
Q15654,Q8WTR4
O00308,Q86UD3
Q9Y3U8,Q9NS56
P38646,Q96CM3
Q9Y297,P10070
Q9NVV4,O75390
Q29RF7,P46059
Q8NDW4,Q14195
P14735,Q96DN2
P42345,Q9C0C7
P06576,Q9H7Z7
Q14919,Q9UNY4
O00268,Q7Z7C8
Q96PN7,P34897
Q9NTU7,Q9BXS4
O75369,O96017
P43360,Q52LA3
P06280,O15393
P28288,Q8N9F8
P62917,O95478
Q15418,Q7Z6J2
P42858,Q9NV96
P99999,P21796
O75390,Q9Y3D3
O76071,O96013
Q99880,P46063
Q02383,P08118
P00387,Q9NQC3
Q4VCS5,Q9Y5B0
P02452,Q9BUJ0
P47897,P09622
O95858,Q07065
Q969G2,Q96F07
O95235,Q5VWX1
Q9ULK5,Q9H8J5
P63104,Q9H6E5
Q96PV4,Q9BSW2
Q8N488,Q9BRZ2
P05556,Q9NRC1
Q969H0,Q9Y3D8
P51531,Q16385
Q16630,Q9HD26
Q5S007,P36957
P00519,Q15323
Q01085,Q9BY78
Q13304,Q8N201
Q9NZA1,Q9ULV0
Q9UBT2,Q96EI5
P46379,Q96IJ6
Q13387,Q15389
O43521,Q13064
O95171,P50990
P05067,P51452
Q2HXU8,Q00973
Q12933,P48751
P11940,P60842
P07954,Q6P1N9
P61218,Q06323
O95985,Q9Y2R9
Q9NQZ8,Q9Y2P0
P10809,Q4J6C6
P56181,P03905
O94874,P02746
Q02083,Q9NRD1
O94874,P54886
Q96S59,P25398
Q13077,O75791
Q8NC69,Q9NRD5
P49810,P41218
O00400,Q96RD7
P11279,Q9H4G0
Q96RK0,P84103
P06241,Q8IUQ4
P30550,Q6ICH7
P52198,Q5EB52
Q96T88,O75069
P61964,Q9P0U4
P46087,O15479
Q9NVH0,Q9NX95
Q13200,P59046
Q9NPZ5,Q8NFZ4
P53778,P02808
P16220,Q5TD97
Q9BYJ1,P05014
Q9Y5L3,Q9H9S3
Q9UK85,Q66K14
O00410,P09958
O60885,Q13617
Q5JVL4,Q9P202
P62805,Q9Y383
Q15181,Q5MNZ9
P29590,Q8TBE9
P42858,P17980
Q13627,Q9UBQ0
Q69YN4,A6NCL7
P37173,Q6UB35
Q9NUH8,P81534
P41240,P49407
P01116,Q12893
P35754,Q9BVG3
Q13489,P55084
Q9HD34,P40926
Q6ZMZ3,Q9H488
O60641,Q7Z699
O15164,Q68DI1
Q8IYX8,Q9BXS5
P20700,Q9NS73
O15357,Q9NS87
O60383,Q9NY59
P62487,Q9P1U0
Q7Z406,Q07343
Q9BPX5,Q8WUH1
P42694,Q96I24
Q92731,Q9Y2Q3
Q9NQW6,P42566
O95197,P43220
P27487,P09651
Q04206,Q00987
Q9Y2H6,Q06136
P14136,O00418
P42566,P12035
Q9NZQ7,P29401
O15273,O14793
Q15418,P54136
Q86YZ3,Q06187
Q16777,Q92560
Q6P2Q9,Q92990
P01112,Q14126
Q15818,O96009
Q13255,P09471
Q15836,Q92845
P07355,P15927
Q5T2D3,Q13045
Q9NRG0,Q86YR7
O75190,Q8IXJ6
Q15058,Q7Z7A1
Q01814,Q13424
Q5S007,P50914
P61978,Q9NVF9
Q92820,Q92905
O60341,Q9NZM3
Q9BSL1,Q9BYZ8
Q93084,Q6IAN0
Q5S007,Q9BPW8
O75716,Q9BQ13
Q99729,Q16695
Q9H8H2,Q9BWF3
Q13438,Q9HAW8
P20290,Q14974
Q96SF2,Q96T58
Q15375,Q5JZY3
Q9BYN8,Q9BVS5
P07550,P29275
P09619,O94898
P62807,Q92576
P62891,Q9BXK1
O95983,Q96C01
Q92504,P35555
O75665,Q8IWE5
P61201,P19447
Q99496,P04637
O14983,P28827
P48039,Q93077
Q9Y3C4,Q96K31
Q86VP1,Q99805
Q8TBC4,O15294
Q16478,O43292
P01116,Q13393
Q01974,P28562
O14641,Q9BYI3
P61221,P62851
Q9UER7,Q13137
Q7Z5P4,Q8N6F1
P09382,Q6PJG9
P11940,O75534
P19320,Q9BSJ8
Q12800,O94832
P05067,Q8WYQ5
Q04828,Q07654
Q8IZD9,Q9ULP9
Q6PML9,P43897
P31321,Q9BZE0
P04637,Q01831
O95831,Q8IXI1
Q01814,Q5T3U5
O00459,Q9NS15
P07814,P07711
O75323,Q9BQE5
O95159,P15151
P50402,Q16850
P61221,P02545
P24941,P26639
Q9Y2S7,Q13228
Q6P1J9,P12273
P23528,P35637
Q96HA8,Q9Y2J4
Q9Y3D9,Q08257
O15530,P63173
Q9GZQ8,P56385
P13674,P08151
Q14258,Q15906
P57078,Q6R327
Q9Y5L4,P54886
P35244,O60934
O60885,Q9H0A0
Q53EZ4,P56279
O95486,Q9HCJ0
Q9BRK4,Q8NB25
O14578,Q9NRD8
P38919,P09132
Q15303,P46937
O00308,Q9BQG0
O60293,Q9UMX1
P10244,Q05D32
Q9NRI5,Q05682
Q15058,Q96R06
P48509,Q9H106
P15941,Q99519
