Q8TBF5,Q8TBF4
A0AVK6,Q96EP5
Q6ZTW0,Q9H305
Q8NFC6,Q8NBS9
P02461,Q9ULK5
O60384,P63261
P31271,Q6RSH7
Q9P2A4,Q8WWH4
Q6EKJ0,Q86XR7
Q5BJH7,Q9UHQ9
P03897,P62837
P29728,Q9Y3P8
P51157,Q05901
Q9H305,A0A087WSY4
Q9BV57,A0A0U1RQI7
O14880,Q6ZWH5
Q5JT25,Q86XJ1
Q9BTU6,P48059
P07550,Q504U0
A6NJU9,Q03828
Q8NGM1,Q13433
P34931,Q7Z7H3
P01562,Q96ES7
D6RCP7,Q9NP59
Q9NR90,Q9BW04
Q9Y496,Q9NVS2
Q9P016,O43513
Q15973,Q8WXI8
Q8IY84,Q9Y2J4
Q16557,P51805
Q58FF3,P54855
O15178,A2A3N6
Q5T2Q4,Q92187
Q9BTU6,Q5XKP0
Q13228,Q9H8Y1
Q99459,Q9H8M2
Q9HAT2,Q99988
Q9C0B2,O75147
O00505,A6NKC9
P55822,A6NL26
Q03518,P39059
Q99547,Q5QGS0
P55957,Q9UKE5
P31260,O60721
Q86UN3,P28749
A8MTY7,Q13822
Q9NUM4,P56385
Q9C0C7,P78406
Q8NCW6,P13747
Q13319,P07202
Q86WV5,O00571
Q5VUM1,Q2TB18
Q96T49,Q9P2A4
Q08J23,Q14542
Q96AX9,O95255
Q9NPH6,Q92953
O75916,Q5VVX9
P55210,Q9UKC9
Q969Q1,Q5H9I0
Q9Y644,Q0GE19
Q6ZMN8,P51686
Q96RI0,Q9Y675
P01229,Q9HAU0
Q9Y5U4,Q9Y5Y3
O00339,Q16633
P07315,Q9BX26
P33121,Q9NQS3
Q9NS93,Q96AP0
Q6UB99,Q9H190
P62258,Q5RI15
Q9BZ23,Q7RTV3
O00634,Q92604
P01344,Q6GMR7
P83859,P48553
Q96RU2,P04553
Q8WU39,O75449
P03923,P21397
Q49A88,Q5R3K3
Q9H6R6,P31268
Q68D10,O14526
Q15572,Q15054
Q9P1Z3,Q96DD7
Q13501,P22830
Q8N2S1,Q86X10
Q9NRP2,A6NHT5
P04085,Q8NGG1
Q8TE68,Q9UGT4
Q9NQT5,O15397
Q96G74,Q5T1C6
Q9UHD2,Q9C029
Q93077,Q14588
Q15620,O43680
Q5TEJ8,Q969N2
Q969M7,Q6ZSA7
Q99944,Q86UN6
Q7Z3Z3,Q9Y2D8
P05388,Q13685
P41214,P31948
O14737,A6NKK0
P08648,Q92824
P13726,O15229
P24046,Q8N1L4
Q96DR8,O60353
P17752,Q9Y5X5
Q2TAZ0,Q8N9N7
Q9NS68,P68036
O94907,P63173
Q6P3V2,Q6GYQ0
Q53G59,Q8N1N2
Q96CN7,Q969Z3
P36873,Q96L42
P55107,P03979
Q9BY64,Q99584
Q6NXG1,Q6P587
Q9H2X9,Q9P2E2
Q96PS8,A8MTJ3
P46531,Q15651
Q06643,P10412
Q9ULJ7,P20292
Q7L590,P0C0S5
Q9NQ69,Q8NBH2
Q92664,Q8IX90
Q6IAN0,Q32P44
Q96QS1,P38919
Q9H2M9,Q02833
Q9BS26,Q9H2S9
A8MVJ9,O60841
Q15761,Q15031
Q08378,P10515
Q9UPW6,Q9NWW7
O00258,O43602
Q3B7J2,Q9Y6H1
Q13613,Q96T66
Q7RTN6,O14730
P01825,Q9NPZ5
Q15776,Q14651
Q9BYI3,O95452
Q86TV6,Q9H903
Q5T1H1,P15529
P17014,Q96C10
Q13214,Q8NH76
Q9UBC0,Q9NPC3
Q96NX5,Q70Z35
Q6NUT3,Q07864
P0DN77,Q9NUJ3
Q7Z2D5,P23470
Q9Y468,P59542
Q7Z7K2,Q9NRJ3
Q8NGF9,Q719H9
P15586,Q8TB52
O60290,Q9Y680
Q9UBE8,Q3KQV9
Q01968,P02686
A9UHW6,P25063
O94804,A8MWD9
P0C7P4,Q96AX9
Q9BRD0,O43447
Q8N146,Q9P241
Q92499,O15442
Q8NFP4,Q9NSY2
Q9Y5Q3,O14817
P10153,Q8NAT1
Q9NZM3,Q2M3G0
Q9NWW0,P47929
Q8N4S9,P39687
O43242,P57053
Q96I82,P11362
Q5T1S8,Q8IXA5
P27448,P14859
Q9HBE4,P61244
P06239,P51692
Q16517,Q92908
O75762,A0A0K0K1D8
Q8WWR8,P06331
Q9UBD0,Q01167
Q96S52,Q86WG3
P19367,Q8N392
Q9NR19,Q9ULI2
Q96HJ5,O00470
Q6P531,P25325
P08729,Q96KR4
O75822,Q58WW2
Q96EV8,Q9BZ72
Q96MT8,Q6NSI4
Q5VUJ9,P82979
Q86W50,Q96F45
Q9H4M9,Q6UXT8
O14503,P56880
P14735,A6NDH6
Q6PDB4,O95817
Q96KQ4,O60879
Q8TCU3,Q96T55
Q92526,Q99590
Q14656,P0DJD0
Q9C040,A0A0A6YYK7
Q8NGH8,Q5BJF6
Q9C0E2,P43243
P20848,Q05329
Q96BW9,Q86W47
A0PJY2,Q9Y5X0
Q9UI47,Q9NP08
P81133,Q86WG3
Q6A162,Q96S59
Q17R98,Q8N2G4
A6NDB9,Q6UX68
Q5JVL4,Q6GMV2
Q92521,P19105
P31269,Q6UX06
O15394,Q8NGC5
Q9HBY0,Q5K4L6
Q99518,Q8IVD9
Q14954,P42229
O75474,Q9H7C9
Q9NWW0,Q8IV08
P63121,P05113
Q8TDB4,Q96PV7
A0A0U1RQI7,Q7RTY7
Q8WVX9,Q9H344
P35250,Q9NZH8
Q8IZY2,P22307
Q99733,P12883
Q9BSD3,Q5SXM8
Q9HCU9,Q8N8B7
Q8WXH4,A0A0A6YYC5
P21579,Q8NCS4
O76074,Q13416
P0DOY3,Q6P589
P48553,Q96S55
P78381,Q8N9B5
P09493,Q2TB90
Q68DI1,Q75QN2
Q9UHB7,Q96H40
P19447,B2RUY7
A0A1W2PR82,O94925
P57740,Q8N1G1
P07357,Q9UHV7
Q8N594,P51608
O43808,Q8N6G5
Q13510,Q8IVF4
Q99426,Q8IYB4
Q9Y692,Q96N16
P53673,P52926
Q9BY32,Q5VWP2
P0DP73,Q9NRJ1
P46597,P78332
Q14103,Q9UQB3
Q9HAP6,P10276
Q86YW5,Q15034
Q9P1Y6,P55345
Q63HK5,Q9UPY8
Q96GC6,P35611
Q96BY9,Q86XR7
Q9Y2Q9,Q9P2J5
P21583,Q9NT99
Q03393,Q6UWP8
Q9P0Z9,P68104
Q6P1Q0,P35268
Q92686,A1YPR0
Q58EX2,O60476
O95758,P40818
Q6ULP2,O95140
Q14244,P56524
Q96Q80,P59536
P60002,P49716
P14635,Q9UJC5
Q9BXB4,Q6IFN5
P05204,Q8NGL9
Q96EL1,P43034
Q8IYE1,Q9NYY1
Q86Y97,Q8N539
P22557,O75096
Q68DI1,Q9BVV7
Q9UK05,Q8N1N5
Q9Y227,Q9Y375
Q9NU22,P61218
Q53S33,Q6UW56
P37275,Q9P0S9
P51160,Q96AY4
Q9NZG7,P43304
Q96QI5,Q2TAZ0
Q8WVD5,P15309
P51884,Q9NS56
Q7Z7K6,Q9P2F8
Q96PR1,P57768
Q7Z3B4,A5PLN9
Q9BXI2,P17752
Q92522,O14975
O95528,Q4ZG55
Q06141,Q14527
P21439,P51798
Q8NDZ4,P30305
Q8NET8,Q9UIG8
A6NDV4,P46776
Q15165,Q8IZS8
Q9UF02,Q8WV07
Q0ZGT2,Q8WU90
Q6J4K2,P29317
Q8NFY9,Q71U36
O75165,P08240
Q03431,P59047
O60934,Q7Z5N4
P57678,O60524
Q96IQ7,Q8NGC0
Q9UKQ9,Q8TF66
Q8NCN5,Q6NUP7
P27482,Q8NEQ6
P56524,Q96HW7
Q8NG83,Q93033
Q96R67,Q7Z4I7
O14770,P42701
Q9H0X4,Q9ULW5
Q8IZP9,G9CGD6
P0CJ85,Q8IY67
Q7Z2T5,P22736
Q9UN88,Q9NP08
Q6UXH9,Q19AV6
P51786,Q9P2L0
Q9BVX2,O60763
Q9H334,A0A0C4DH30
Q9NQV8,P37231
Q9NQC1,P62873
Q8WVZ9,Q9BYC5
Q14093,Q8TDD5
Q9Y6G1,Q96H72
A0JLT2,Q9H9J2
Q5SZK8,P67775
Q5H9L2,Q9BX26
P17540,O15021
Q9HBH9,Q9Y581
Q96MF6,Q86WX3
Q9Y4Z2,Q9UBP9
P48730,A0A0C4DH26
Q9HC84,Q9Y305
Q8IXY8,Q9UL63
Q9H3Q3,P31939
Q96DR7,O15327
Q96A65,P60866
O95714,Q8IVF7
O14817,A0A1B0GWH4
P29590,Q86YC3
Q5SNT2,P55087
Q9P2M4,Q16763
Q7Z3Q1,P0DQD5
Q969F9,Q9NXZ2
P26436,Q9ULW2
P62380,Q9BY11
P28906,Q96R84
Q6P9H4,P35555
Q15599,Q9NZN5
Q9UBQ5,O95861
Q9HAP6,Q9Y4J8
P63146,O00623
Q6XQN6,O15247
Q9NYQ6,Q9BU76
P36871,Q6P4H8
Q9H1A4,Q9BQI0
P0CJ86,P13667
Q8TDX7,Q16698
O95551,Q8WV92
Q99435,Q9Y2Y0
Q9HCT0,Q8N883
Q96D05,Q8N668
Q86SJ6,Q8WTR8
Q15796,Q86VE9
Q12988,Q8NE09
Q9UBW8,P23490
Q8N5I2,Q9NRG1
O95081,O94988
Q30KR1,Q96RE9
Q99909,Q13285
Q15041,P08048
P48382,O75690
P20023,Q02556
Q00987,Q9BQ16
Q8NBP5,P40305
P42695,Q03933
Q15046,Q9HC97
Q9H422,Q86Y38
Q96BR5,O75891
Q6NUI6,A0A0B4J280
Q9BZW4,H3BQL2
Q3SY17,A4D0T7
Q05329,P56696
O94955,P33076
Q92629,P00491
A0A0C4DH34,P08582
Q8IY49,A0A5B6
Q9NP08,Q99956
Q9UKI9,Q96DX8
Q9BY64,Q01831
O43704,Q9ULD6
Q8WWX0,Q99880
Q49A26,P06213
Q8NE63,P48664
Q9UPQ0,Q9Y5N6
A6NDG6,Q8NFM4
P0C629,Q8WTT0
Q86Y97,Q8N3C7
O94953,Q8WXS5
Q00535,Q8N8Q1
A6NFY7,Q9BW62
Q5GAN3,Q92696
Q9NRG7,Q9NPC3
Q99571,Q8TAP8
Q96JY6,Q13907
A6NKF1,Q8NFV4
Q9N2K0,Q9NX62
Q8N9U9,Q32P41
P09919,Q8NER1
P61579,Q9UPM8
P21709,Q9BWQ6
Q8NGF8,Q9P121
Q56UQ5,Q9H4G0
Q9NP94,Q9UBH6
Q9HB89,P20809
P07339,Q9H074
Q9NWF9,Q7LFX5
Q9Y2Z4,P29017
Q9NZ63,P57679
Q9HB55,Q99747
Q9NPF5,P28066
O95777,Q14517
Q8IXQ9,Q9Y6Y8
Q9UMX5,Q99748
P23109,Q8WTW4
P53609,Q8IY33
Q7Z6L0,Q13322
Q9P2G3,Q8NDL9
P46109,Q6GPI1
Q6NVY1,Q8N205
Q8NFW5,Q9Y3Q3
O14976,O14529
Q8NH41,Q7RTS9
O94973,Q9UMS6
P48546,O43847
P20231,P80723
Q9BPX6,P25208
O15417,O14776
P55854,Q86TC9
Q99952,Q7Z7J7
A6NLE4,Q6XYQ8
Q96L96,O15534
P05015,Q49B96
O94887,Q9HCG8
Q9ULB4,P01040
Q96PB8,P51170
Q8NGN0,Q9NPH6
Q6B9Z1,Q6NSW7
Q9UNQ2,O95834
Q07654,Q96AG3
Q8NGS0,P08567
Q53TQ3,Q8J025
Q08426,Q8IVF4
O00187,Q9BZF3
Q8WYN3,Q96QE3
O15178,O43895
P18074,Q641Q3
Q9NVH0,Q5JQF8
P63128,Q86VW1
O43482,O60271
Q5VWX1,Q9BYR5
Q9Y2T2,Q8NAX2
Q8WXH4,Q53GS7
Q6NTE8,Q9H7C9
O75923,P49913
Q96EN8,Q6ZSC3
P02768,P50150
Q9Y2K9,Q9H343
O60603,O15360
P10266,P32241
Q9H9J4,Q8IXT1
O15131,O60359
Q9BUR5,P56704
Q969Q1,Q6NUJ5
Q32P28,Q9BYV6
O15015,Q5BKX8
O60462,Q96A56
A8MX34,O75093
Q6ZQN5,Q5ST30
P11766,Q6UWL6
A6PVL3,Q5VU97
Q07507,P04732
Q96FI4,P54646
Q7Z3B4,P00451
Q3LI81,Q15696
Q9NVV5,Q8NAV1
Q96B86,Q9P0V9
Q8N2Q7,P16066
Q9BQ08,Q3KP22
P01275,P43246
Q8TE49,Q9BUE0
Q8N3R3,Q92482
Q92542,P35503
Q9UQ72,Q8NGP3
Q96MN2,Q9Y266
Q9UHI6,Q9NSB2
Q86V85,Q8NBF6
P28676,Q9Y2D4
O95183,A8MQ11
A6NMN3,O75871
Q96GN5,Q16222
Q9UNA3,P51878
Q6NTE8,Q96LA5
Q9Y694,Q96DW6
Q9NNW7,Q9NPE6
O43615,P53794
O75608,Q8N0U8
Q9NW08,A2A2Y4
Q9BYU5,Q9BX51
A8MWE9,P52746
Q86VF2,Q01638
P61204,O00472
Q5VYK3,Q6ZNA5
Q96IZ6,Q9H1H9
O15146,Q8N0U4
Q9P107,A6NJ88
Q6NXS1,Q16790
Q9UJV9,Q9UL19
Q9NZP6,P28069
O14727,P52757
Q14019,Q16572
Q69YI7,P11021
A0A075B6P5,Q04671
O15528,Q9H5V7
Q9NYH9,Q8NGV6
Q9H0M0,Q76FK4
P38432,Q8WWI5
O75528,P52798
Q7L775,Q8NCT1
Q8N1F8,Q13255
P30281,Q96DB2
Q15545,O75129
Q5T7V8,Q6UY11
P51649,P01714
A0A1B0GX95,Q96GW7
Q8WUF5,O75665
P25788,Q9UN72
Q14847,P36578
Q9H3S5,Q8IV45
Q96IV0,Q6ZWL3
P16112,Q9UPT5
Q16875,Q96NI8
Q9UPV0,Q99829
Q9BU64,Q8IUG5
Q9NYJ8,O75489
Q9NZQ9,Q9Y5Z6
A0A075B6I3,O95267
Q02539,Q13018
Q9H7D0,Q99755
O14530,Q9ULD6
O60602,Q52LR7
Q9GZT8,Q8IXJ6
P47813,Q6UB35
A6NER0,Q96S59
Q9HD36,O60500
Q8IUC0,O00168
Q9NVP1,Q8IZ26
P24863,Q00597
Q9Y263,Q6AHZ1
P20337,Q8WXI8
Q02318,P02538
Q8N9I0,Q9BZC1
P57738,O75718
Q96HR3,P63316
P22532,P53801
Q9BRX8,Q16555
Q06210,P26992
P19793,P54725
Q8IWZ6,Q15582
Q92747,Q86Y79
Q9Y605,P55000
P52757,Q05707
P29466,P11802
Q6IEZ7,Q9Y5H7
Q6TGC4,Q96GN5
P60412,Q6A1A2
O95721,Q9H4R4
Q6EBC2,P28749
Q9HC38,Q9NPB9
Q96C23,P36955
P21579,Q96DT7
Q8TC41,A7E2V4
P49427,Q6ZVT0
Q7Z412,Q58HT5
P05160,Q9HA47
O14581,O43766
O43795,O75593
P32969,Q9H2C2
Q9UKW4,P85037
O95171,P0DJD1
P10243,Q16849
Q8N680,Q8N5V2
Q9NX70,Q96KJ4
Q9UBE0,Q9UKI9
Q9Y289,O75144
Q8WYQ9,Q9NZR1
Q8TAT6,Q5SY80
P43146,Q9UMF0
Q9H8W5,P18847
Q96GX5,Q8IYW2
O75936,Q8NB91
Q8NBF6,P84243
Q71UM5,Q9BSU1
Q8NDV1,Q8N6Q8
Q5T7M4,Q14593
Q7L1W4,Q9UPP1
P05976,Q92903
B5ME19,P19957
Q9HBE1,A0A087WSY4
P0DPK3,Q9NR83
O75674,Q14406
Q5VV42,P40925
O95255,P08581
Q5JRS4,Q9NS25
P62854,Q9Y3B7
P61916,Q15139
Q8NBZ0,Q9BYV8
A5D6W6,Q6ZTA4
P27930,Q5TYM5
Q8WWX8,O14980
Q8NBR0,P29017
Q9P2W3,A6NHM9
Q04771,O75431
Q9BRR0,Q9NYQ3
Q9UHX3,Q9BYJ0
P42224,Q86X29
P09496,P13805
Q8IZ57,Q8NH19
Q99607,P02746
Q14CN2,Q9HAN9
Q9HD42,Q8WWI5
Q03426,Q14011
Q9NRX2,Q5U5R9
A1L190,P68871
Q6NY19,O60928
Q9HC78,P02538
Q9P273,Q96SL8
Q96PF1,Q5JRA6
Q8N3U4,Q9BT30
Q9C0H9,Q0VG06
P26951,Q6UY18
Q96A32,Q9UM47
A0A0B4J1Z2,P28906
Q96MR9,Q8NER1
P16284,P62491
Q9Y264,A0AVT1
O75679,Q07864
Q8IZC4,Q13619
O14657,O15075
Q8WXW3,Q8TDF6
Q56P42,Q15814
Q8IUM7,Q9UJJ9
Q8WXH6,Q13541
Q03112,Q8WW43
Q9NZB8,P07225
Q9NQL2,P15924
Q9NRR2,Q93052
O95411,Q9BYZ8
P07316,P61580
Q9H5Z6,Q9NVX0
P24385,P82094
Q8N157,Q6IEV9
O15405,P18577
Q9Y4D2,O95684
Q8N2H9,Q15418
Q8N9N5,Q6XYB7
A0A075B6H7,Q96QB1
P47992,Q6Q4G3
Q8NH50,P08582
Q5QJ74,P01375
Q96SQ9,P30622
P56279,Q13011
Q12879,P55344
O95500,Q5SZQ8
Q9UJC3,P51511
Q8IYN0,Q8TCQ1
P47804,Q8WXH6
Q9HC44,Q9H4E5
Q8N608,P0DMT0
Q86SM8,P32881
Q99829,O95236
P01911,O60706
Q9UHQ9,Q9NRZ7
Q7Z412,Q92551
Q8IUW5,P0DPK2
Q8WXD2,Q9H1Y0
O15392,Q8TB96
O60711,Q9Y5W5
Q8NAA4,P98161
Q6UWK7,O95084
Q9H425,Q9HB20
P10109,Q8N5C1
Q03112,Q14549
P29084,Q86WH2
P23434,Q9NZP6
O14926,P51689
P34932,A8MXK1
P60953,P20645
Q8TB69,Q8N6F1
O00204,Q5VZE5
Q92915,O14595
P12104,O60504
O15438,Q14832
Q9NYG2,Q3KP66
Q6UVJ0,Q8NEJ9
Q9NSI5,O75388
Q8IXI2,Q9BSE5
Q9UP38,P55082
O14828,Q9BZ95
Q6P179,P62745
Q5TIA1,Q99583
O15296,P59095
Q7Z624,Q9UBN1
P12107,Q9UDY4
P78509,P27037
O60287,P42338
A8MXV6,Q0VDE8
Q6P1K2,Q9UKM9
Q9UHD4,Q9H4B7
Q9NRZ9,Q9HBT7
Q9UHB9,Q9UBV2
Q9ULV0,Q66K66
P0DPK4,P09661
Q96BT7,O94889
O60507,O96018
Q56UQ5,Q99733
Q9UBP5,P33897
Q9NWH9,Q6PCB7
O15347,Q5VV63
O14633,Q13144
Q96L33,Q9BSV6
O75844,Q8IX30
Q3B7S5,Q92896
A0A0C4DH72,O95837
Q9UJM3,P09417
P56134,P48539
O95622,O15375
Q1W6H9,Q96C57
P0C0P6,O14526
Q17RR3,O00327
O60641,P52948
O60890,Q96GX9
Q07890,P31995
P51788,O75925
Q9H0E3,Q9P246
P29371,Q9H7P6
Q01581,Q9Y5E8
P52272,Q9BPV8
Q14517,Q9NZB2
Q9Y282,Q4G0P3
Q9BWV3,P11717
P04798,Q6ZS17
A0A0C4DH27,Q9HBL8
Q5QJU3,Q9NS26
Q9Y467,Q9HCK1
Q8WVM8,Q8N3R3
Q99102,Q86TL0
Q96IR7,Q7Z6R9
Q5U5X0,P31323
Q9UKZ9,P11226
Q9Y3Z3,Q14696
P21145,Q7Z417
D6RA61,Q6UX46
Q96DX5,Q9BXK5
Q96P66,Q8NGP3
Q6P1M3,Q9UNL2
Q7Z6J4,Q8TAA3
Q9BXB5,H0Y354
K9M1U5,O95232
Q9P2I0,P25445
P26006,Q96PC3
O15239,Q9BSE4
Q96GK7,Q9H270
Q9Y5E4,P43119
A6NMZ5,P98198
Q9Y478,O15091
O00631,Q9Y5H8
Q9NPF4,Q8WU68
Q96B49,P0DN26
Q9ULE3,Q15125
P36508,Q6I9Y2
P83110,Q99583
Q9P217,P49768
A6NHX0,Q9H2S1
P27037,Q9BZP6
Q9C0K7,P46109
Q86VY4,P0DJD0
Q9BRB3,P35462
Q86X24,O75886
Q9Y2T5,Q9UNU6
Q14156,O94875
Q99757,P50990
P35858,Q96JB8
Q92526,Q15973
Q8TE77,P36639
Q9P1U0,Q13207
Q96EH3,Q9Y5J7
Q5UCC4,Q8TB61
Q9UQ84,Q7Z6M2
Q76M96,Q008S8
Q9UNW8,P32927
Q3LXA3,Q14CN2
Q08AE8,Q9NPH0
Q9H6D8,O94989
A6NHC0,Q9UKY1
Q92765,Q9HAN9
Q13761,P68871
Q9H7H0,Q8IWG1
Q86WV6,O95997
Q92782,Q86WV1
Q86UV7,A6NF01
Q96S95,Q9NQ66
Q07817,Q8NBS3
Q9UBG0,Q8N2G4
P24071,P84996
Q9NXE4,O95057
A6NDE4,Q8N3P4
Q9BRJ6,Q8IWU6
Q9BSN7,Q5T601
Q9UJ98,Q9NWW9
O15229,Q658Y4
P61570,Q16181
Q8IV77,P21549
Q8NHY5,Q9H0U3
Q96E29,Q14154
Q9NS98,P38484
Q13670,O75128
Q9NPD5,P50053
Q9Y6M4,Q15041
Q9NPF0,P24468
Q96A61,Q96JY6
Q9H7X0,P07197
Q6NXT4,P63208
Q8WW22,Q9Y5U8
P30518,O60516
P11142,Q15697
P15927,P42262
Q53HC0,P30039
P0DN77,Q9BX59
P24903,Q6PDA7
Q00169,A6NJ88
P53634,Q8IY26
Q8N7F7,Q14190
Q86VQ1,Q9UKT7
P02749,P35221
Q13217,P12236
Q8WXD2,P01225
O75794,Q9Y3T9
Q8IUC0,O15018
Q9H9R9,Q8TBY8
Q9BY64,Q9HD90
Q13794,P25208
Q8IZS8,P42357
Q6PF05,Q14188
A6NFU8,Q86TH1
P0CG38,P19438
P50993,Q99985
Q06187,Q8IVL5
Q9BTF0,Q8WXF3
O60241,Q15858
Q8NE63,Q96DX5
P16070,A0A1B0GVQ0
Q8NF91,Q9HCS2
E5RG02,O43889
Q13156,P49842
Q9P1Z2,Q96S66
Q02386,O60762
Q9H169,Q96L96
Q8IUD6,Q9H3K6
O95182,Q9Y580
Q9UBY9,Q5NUL3
P78368,Q14498
O75165,O95562
Q96CW1,Q99613
Q8NGD3,P29320
Q96BP3,O15533
Q8NDH6,Q13873
O14757,P0DPQ6
Q9NWM8,Q13349
Q9BVN2,Q86SJ2
Q6NUT2,P23942
O43913,O00534
Q8TDB6,Q9Y2T6
Q8NEB9,Q96BQ1
Q01082,P51813
Q96BM9,B2RXF5
Q7Z6J8,Q9UPP2
P57078,Q9Y3D8
O00194,Q9H3R0
P06126,P11362
Q03518,Q02817
Q969S6,Q9BQS7
O43365,P20783
Q9BW91,Q9UHV8
Q5H9L4,P08048
P19622,Q9Y2G2
P52954,Q9NRY2
Q16842,Q8WWF5
Q96S97,Q9H344
Q04837,Q6NZY4
Q6ZUM4,P60866
Q9UNP4,O95994
O43615,O75487
Q6UVW9,P01597
Q96AH0,Q96GS6
Q53G59,P78316
Q8TB68,Q16760
A8MTQ0,A6NHR9
Q96GR4,Q9Y3R0
P43403,O95907
Q15057,Q99748
Q8TC71,Q496F6
Q6UX34,P16662
O76038,P51685
P12235,P82664
Q96M53,P42892
Q9H7M9,Q13443
Q9HBJ7,Q16719
Q06278,Q9Y4X5
Q8IZC4,P50542
A0AV02,P19784
Q9UKQ9,Q9ULI2
O75185,Q9NUP1
O14958,Q9NX62
Q9NXB0,O43242
Q9NQ89,O75575
Q658Y4,Q9NXK8
P22676,P09874
Q9H1B5,Q9UBR4
O00590,Q9H8V3
Q9ULJ8,P43364
O15297,Q96I76
Q56UN5,O75419
O15439,O60443
Q9Y2K7,P0CJ90
Q99426,A0A0K0K1C4
Q9NW38,Q13075
Q9NRA0,Q99990
Q92997,Q96K12
Q96IK0,Q9NPZ5
Q15797,Q9Y2G7
Q8NFH3,Q8TAP4
O60513,Q9HAU8
Q00013,Q9BS18
E9PAV3,Q9Y5H0
Q9UHD4,Q6UXV0
A6NDL7,O75607
P32754,P14735
Q8IWJ2,Q9H8K7
P48764,Q5VV43
Q9NVI1,Q9NSE2
Q9Y2G0,Q15700
Q9Y3B7,Q8WWF5
Q9P2L0,Q9HBH9
Q9UKR3,P0CJ72
Q8IZ52,A6NDH6
P57721,A0A1W2PPM1
Q9BZE0,P13994
Q96DZ9,Q9NZH5
Q15695,Q9ULS5
Q9UN88,D6REC4
Q5TC82,Q13740
Q9UEY8,Q9UBP4
Q8IWV8,P17482
P23634,Q9UMY4
A4UGR9,Q6NXR0
P00739,O75376
P13747,P0C7H9
O75596,P00746
Q9BYQ9,P00734
P21854,P20264
Q9GZZ1,Q8WZA1
Q96PU5,P50440
Q8N6K0,Q6XR72
Q9H074,Q6ZXV5
P49908,Q9BRK3
Q92737,P40818
O60259,P35236
A0A0A0MTA7,Q8IWZ8
P55769,Q9Y5L0
O15173,Q8N1E6
Q9BZ76,P47884
Q6ZXV5,P04049
Q9C0H9,Q9NUL7
Q8N9I9,Q86VZ6
P50579,Q5VV42
Q8IZQ1,Q8NCM8
Q13064,Q13630
Q9P260,Q8NFX7
Q9HAZ1,Q562R1
Q13443,Q5PT55
Q8TDF6,O00472
Q96LR2,O14633
Q6P4F2,Q3LFD5
P11226,Q9NPB9
Q9Y2K3,Q96HR9
Q8IZ52,O75467
Q5QGZ9,Q15811
