P00352,O60356
Q9BVL4,Q96F44
P37198,Q86SQ7
P61019,Q96I99
P26641,Q676U5
A6NLJ0,Q9NYQ6
Q13573,O00409
P50402,P53671
Q05513,P41743
O75400,Q9H7X0
O95573,Q96RD7
O00159,P52732
Q9UBN7,P17066
Q9H3M7,P60866
Q9H2A7,Q6NSX1
P63104,Q04912
Q69YN4,P23219
P78545,Q9HAV7
O75607,Q9GZL7
P06280,O15393
Q14152,O60285
O15400,O75976
Q6IAA8,Q68EM7
Q8TDR0,P68032
Q8WWB5,O60678
Q9BRQ0,Q9UPU3
P06702,Q16378
P22735,P48539
Q9Y3I1,Q5U4P2
O60341,Q8NEC7
Q9Y3F4,P30039
P02549,P58505
P38398,Q9BPZ7
P17021,O15397
Q9NRI5,P13611
Q7Z417,Q8TEC5
Q8TAD8,Q93079
P35227,O95377
P08574,Q9Y3E0
P22413,Q15165
O94874,P04259
P55209,Q5C9Z4
O00182,P49755
O75190,Q16665
P04843,Q9H330
Q6UX06,Q9BQT9
P11142,P42677
Q6IAA8,O95405
O75976,Q9NUM4
Q969V5,Q9UI26
Q6P2Q9,P11308
Q9BR76,P00167
Q6PF18,O43741
Q8N7B6,Q96D15
P35240,Q86WT6
Q9P2W9,Q8NBQ5
P41002,Q9BZJ0
O00182,P01569
O15205,P36897
Q9BVS5,Q9BST9
P41002,P51610
O94933,O95260
O60826,Q93034
P63261,P17252
O00148,Q9NRA2
P01903,Q8N2K0
Q9HBH0,Q53LP3
Q01085,Q9BY78
Q92731,P68032
Q9H244,Q8NDZ6
Q13618,Q8NFA0
Q9NW13,O76094
Q5TAQ9,Q9Y2Q3
P00441,P15822
P13473,O60245
Q3LI76,Q8WWR8
Q53GQ0,P49116
Q58WW2,P06881
Q7Z6G8,P29322
P03372,Q16698
Q8NI35,O00501
P50402,O75915
O95273,Q96C28
Q6PML9,P49257
P55083,Q96AE7
Q14974,Q9C0B0
P62081,Q86XR8
Q96GM8,P16401
P22392,Q8TCU6
Q9Y605,Q9BVG8
Q13683,P12814
P56556,O95169
P42574,O76074
Q8WVD3,P13987
O43684,O60645
Q9NXG2,Q03692
P28799,Q9UK22
O75683,P0C5Z0
P34932,Q9UBU9
P10147,Q9Y5B8
Q06547,P06307
P04908,Q9NVP1
Q15717,O00180
P04406,Q6N021
Q15006,Q8N7H5
Q9HD34,O75570
Q04721,O15235
Q5S007,Q8WVM8
Q8IVS8,Q9NYP9
P31323,Q96C28
Q13489,P49916
Q12873,Q8WTT2
P55317,Q6ZW49
P60484,Q9Y5A9
Q7Z7L1,Q8WXF1
Q69YN4,Q9NTJ5
Q5SW79,Q99608
Q16595,Q08257
Q9H0W5,Q9Y230
Q8N108,Q8WVE6
Q15836,Q9BTU6
Q15654,P54646
Q69YN4,Q9H3P7
P68032,Q92917
Q96KR1,Q9Y5W5
P53007,P01308
Q9P032,Q9Y6M9
Q9H7H0,Q9Y6G3
P49848,P23497
Q96PU8,Q6P1X6
P56945,O75569
O14521,Q96PD4
Q14289,Q13191
Q9UQM7,Q01970
P17812,P22314
P30740,O60741
P38484,Q92968
Q9P0M9,Q8N5N7
Q02241,Q9Y4E5
Q9UNE7,Q07002
Q96CF2,Q9BYG3
P13861,Q96AG3
P62745,P30837
P60953,P04844
Q8N684,P15976
Q01974,O00167
P55082,P16410
Q9NUJ1,Q9BYX4
Q9BXW9,Q9H583
O75147,Q8WXE1
Q09472,Q9BQ67
Q9GZS0,Q9UHR6
O00311,Q9HBG6
Q9NQE7,P25311
Q15077,P27797
Q13507,P54920
Q9HAU0,Q6ZW31
Q15836,Q8N661
Q15058,Q9NQ90
O75396,P01834
Q03518,O43542
Q07021,Q5HYK3
P21695,P25445
Q9NWT6,Q7LBC6
P49639,O43184
P14866,Q5T0B9
Q9NP92,O75570
Q15418,O14654
P29034,Q9H0K1
Q8NC56,P46098
Q15029,P13797
Q9BXM7,Q92843
P19012,Q9UGJ1
Q9H4M7,Q2NKX8
Q9H270,Q13049
P61966,P22314
Q9UHV2,Q9H503
P22304,Q8IZ69
Q16665,Q9BRX2
P29218,Q9BW91
Q96S66,Q00765
Q66GS9,Q9ULL1
Q96CF2,P61981
P07910,O14529
Q9BXS4,P26572
Q9Y2H6,Q86X19
O95235,Q9BWT7
P11802,Q96PU4
Q9Y3B7,Q9ULY5
P43307,P50991
P22735,Q96GX9
Q16385,P08263
O43474,P13807
Q96S94,Q13247
O43752,O15155
Q15646,Q9NW13
O95696,P50548
O14863,Q9H1A3
Q13243,O15226
O00214,Q504Q3
O95235,P48681
Q86T26,Q9H2V7
Q06587,Q9NRW1
Q9Y520,Q92615
P31749,Q9C019
P19320,Q9BSJ8
Q96RP9,Q9Y2Q9
P35226,Q99741
P04637,P51659
P20337,Q8N5K1
Q9H307,Q9Y3X0
Q8IUR7,Q99988
Q9NTK5,P34947
Q14203,Q8N4C6
Q92731,Q9H0X9
P61956,Q01167
Q01082,Q14203
Q96A37,Q9H4P4
Q15527,Q2NL67
P38398,P67775
P27695,Q9UK41
Q16795,Q8NEN0
Q12905,P52952
P01106,Q01968
Q96SK2,A0AV96
Q9H0S4,Q9NXL9
O00483,O60488
Q15773,Q15126
Q13127,P62847
P67870,Q676U5
Q6JEL2,Q03426
P63000,O60884
Q9NYY8,Q96A35
Q92614,A1L390
Q9BQG0,P62906
P14416,O75899
Q9BXM7,P35580
P05067,O75947
Q14315,Q15021
P09758,Q9H553
Q14690,Q9NPD3
P62195,P28062
Q01814,B7ZAQ6
P17302,P49069
Q12769,Q8NBQ5
Q9H467,P47914
P07550,P29275
Q8N5M4,Q8ND90
P62079,P00387
P13861,Q5VU43
Q92615,Q9BZB8
P11717,Q6VY07
Q14517,P10644
Q13557,Q8TAP6
O15393,P27797
Q6RW13,Q8TBB6
P61088,Q5U5Q3
Q92804,Q9UHR5
Q8TD10,Q8NA92
Q03135,P25116
Q96ER3,Q9UK00
O00329,P21583
O95159,Q0JRZ9
P48454,Q53QV2
P62875,Q9H9Y6
P31946,Q13627
O43493,Q9H0H0
P08238,P12931
P26373,P60866
Q9NQW6,Q9HD67
Q9UHD2,Q9UKV8
Q6ZN55,Q9H6S0
P20020,Q9BUN8
O94992,O95782
P0C0S8,Q96BZ8
Q96QC0,Q9Y5Z0
Q96CS3,P61088
P61586,Q9NRY4
P02686,P49759
Q9UMX0,Q13576
Q15759,O15379
Q16623,Q96FZ5
O75159,P05067
Q14999,Q8NEY8
Q9BTV5,P32929
Q5XPI4,P09960
P78317,P47914
P62875,O15446
P27361,P47712
P41002,P08865
Q8N137,Q14241
Q92625,Q15323
O75575,P20839
O00571,Q6P158
Q9BSM1,O95931
P68431,Q14149
Q15022,Q13310
O00483,Q9Y2C2
Q9UMX0,P01303
Q99986,P46778
P43403,Q71U36
P00387,Q8TDT2
Q8TCJ2,Q9UGP8
P35222,O15119
O95661,Q4KWH8
Q14203,Q9UHY8
P63165,O15446
Q9NR31,Q8NHS1
O94855,P49589
Q9NZI5,Q8TE85
Q15717,P49721
P54819,Q6UW68
Q8TED1,Q9UNK0
P05412,Q8NFW8
P06126,P14222
Q00987,Q09472
Q8TDQ0,O94955
P50750,O43719
Q96CF2,Q96FS4
P04899,O43566
P07339,Q7Z602
O95544,Q8TC76
Q92614,Q9BR76
P61221,P63218
Q92598,P20749
O15111,P35579
P43353,Q6PD62
P61956,Q13123
O75874,P54819
P60520,P46778
Q13426,Q0D2I5
Q9H8V3,P13797
O00308,Q15427
Q15038,Q6ZSC3
P78310,Q8NEN9
P49768,P25789
Q15717,Q9HCE3
Q9H4A3,Q8N9I0
P05067,P05109
O14964,O43186
Q14192,Q99666
Q15691,Q99661
O14757,O95644
Q15118,Q96EY8
P08047,Q9BXW3
Q92900,Q13595
Q96KC8,Q13586
Q9UBX3,Q5BKZ1
O00526,Q99795
Q9UGL9,Q5T3J3
Q9NXU5,Q9NRX5
P01106,P22626
Q07820,P58557
Q99728,Q16778
P34897,P08559
P40967,Q14849
P26373,Q7Z6Z7
O75152,Q12926
Q93009,Q12816
P13612,P06748
Q9H0W5,Q9Y3D3
Q8TEW0,Q4KWH8
P02751,P34741
Q15836,Q96TC7
P31689,Q93074
P23258,Q15154
O00214,Q5KU26
Q99943,O95833
P01106,P33992
Q69YN4,Q92625
Q9UGP8,Q8TDU6
Q15415,Q86T65
Q8TDM6,Q12846
O43586,P48023
Q96GQ7,Q9BRU9
P06241,Q8TDQ0
Q96SZ6,O14880
Q9NRI5,Q6PCD5
P0CG47,P32119
P68431,Q92784
P52948,Q9BY41
Q96BA8,Q96AA3
P49368,Q8WU08
Q8IY95,Q9UBV7
Q9Y297,P55210
O15155,Q6P3W7
P17813,Q92541
Q9H3S5,P30518
Q99798,P30044
P16333,P51636
Q96I25,Q96FF9
Q96A08,Q8WV44
Q9Y3C1,P18621
P68366,P33681
P43897,Q8TB37
Q8IYL2,P00740
P60866,Q9Y5A9
O14578,O60216
P02545,P17029
Q9UKB3,Q8IWU9
O94874,P40926
Q9Y297,Q5VWX1
Q9H5K3,P35499
P55072,Q1KMD3
P57078,Q6R327
Q13618,Q9BUJ2
Q9NYB9,Q13049
O15540,Q9UBM1
O60506,P61081
O14980,Q9HCD6
P78371,Q9BVA0
O76064,Q96CD2
P30556,Q99819
P48426,P22531
Q13618,P32121
Q7L2J0,P28066
Q8N442,Q86WC4
P13010,Q9BV68
Q9UBU9,Q6I9Y2
P62195,O60284
P15153,Q96S66
Q15773,P59046
O15273,Q9HAU4
P14618,P04792
Q5JX71,O60636
Q16666,Q8N488
P54274,Q9NYB0
Q15118,Q96I99
Q96A22,Q99755
Q15717,Q14C86
Q9HCE5,P00403
Q92478,Q9NVE7
Q9NS69,Q16775
O95994,Q13509
Q4VCS5,Q15323
P30086,Q86YV6
Q9NYY8,Q8NCN5
P55084,P60520
Q13619,Q9UGI8
Q562R1,O95619
O14880,Q6UW68
P63000,Q9ULE6
Q9NVI7,P15735
P08574,Q8N488
P68363,Q15051
P55769,Q9Y3A4
Q13127,P05386
Q9UPN9,O43852
O95202,Q9H4S2
Q9Y6M1,Q8IZH2
P52788,Q92560
Q92552,P40926
O43639,Q99704
O60333,Q9UJV8
Q86UE4,Q9HC77
Q9BYD2,P17026
Q13489,O94906
Q96DA6,Q99571
Q9UQL6,P19484
O00422,Q8N1F7
Q00839,Q8WYB5
Q15653,Q9NYR9
O14939,O60637
P25787,Q86VP6
P51957,Q02978
P38398,P28715
O75643,Q8IWS0
Q8WXA8,O60704
Q7L273,Q8IWZ5
P60371,Q5T754
P31946,Q9HCD6
P14136,Q9NP55
Q9Y2R4,Q9H4L4
Q15370,Q6PH85
Q9H1K1,A6NFY7
Q7L0Q8,Q9BXC0
O00182,O60287
P20290,P63208
Q9Y2G8,Q9Y6I9
Q969H0,P62906
Q969G3,P62333
Q08379,Q8TEC5
Q15910,P46087
P10636,Q15691
P78317,O15460
P05067,P23193
Q9BRG2,P20933
O14757,Q14201
Q13948,Q6P5W5
Q15717,P01375
P43378,Q96HE8
Q9BVS5,Q6P1X6
Q9NR12,Q9Y4I1
Q6P2Q9,P05783
Q14247,Q8IZP0
Q15058,P18077
Q16637,Q8N6T3
P27348,Q8IWZ5
O95292,Q9HCK1
P62745,P61026
Q8TC12,Q13263
Q86XP3,Q6UXN9
Q9Y5L0,Q8NDH6
P53355,Q8IZR5
P84085,P11310
Q99714,O43324
P60709,P05129
Q8N5R6,O94972
Q96HA1,O95858
P08651,O15014
Q8TAU3,Q96JN2
P08865,P11387
Q15717,Q14103
Q9Y3I1,Q9P267
P68032,Q8IX18
Q9NYY3,Q9UBR2
Q6ZU80,Q2M2Z5
P32246,Q14134
Q9H444,Q9Y2X9
P99999,O43169
P04844,Q6ZWT7
O75575,Q92925
Q99650,Q9Y5E6
Q07021,Q6Y2X3
Q96PK6,Q9NSC5
O95071,Q9C0C7
Q96T58,O94776
P05067,P30419
Q8IWI9,Q9BXK1
O95747,P06702
P14866,P08559
Q8WWB5,Q8NA54
Q9Y3U8,Q9Y221
O43318,O14920
Q01970,P24593
P61978,Q9NR22
Q5R3F8,Q86TI0
Q9Y4L1,Q13438
Q12906,O95478
Q14524,Q13557
P06396,P14060
Q7L0Q8,Q86T82
Q9BZF9,Q5QGT7
Q9P032,Q9P0J0
P10636,P61313
Q7Z406,Q6N021
Q9NV31,Q5JS54
Q15075,Q9UL26
Q9UBP4,Q5T2N8
Q8WXW3,O43189
P40337,P11166
P78317,Q8N6S5
P01116,P42338
P36578,P19784
Q14592,P59923
O95793,Q13200
Q8IYI6,Q01546
P48651,P78362
Q86SE9,P78364
P11362,P36941
P04637,O60573
P14854,Q9Y6N1
P42766,P49116
Q15047,Q9H213
Q92625,Q86T90
O75147,Q96HQ2
O14965,Q63HK3
Q9P246,Q9BQC3
P09001,Q9NZB2
Q13595,Q92542
Q9P015,Q16540
Q13084,Q9NYK5
