P00352,O60356
Q8NCK7,Q9Y383
Q6IAA8,Q68EM7
Q96QF0,Q9BXX3
Q02878,Q13563
Q9H2J7,O15120
Q9UER7,Q12834
Q96GQ7,Q9GZL7
Q9HCD5,Q92879
P25490,Q13753
Q9Y4K3,P22681
O95197,P43220
P14618,Q8WVK2
P02751,P62854
Q13077,Q92529
Q9UGI0,Q9BVG3
Q9P275,O60729
P14373,Q9H857
Q69YN4,Q04695
Q7Z2W4,Q9GZY0
Q15714,P36896
P61981,Q01844
P62241,P62857
P07355,P08172
O14980,P54252
P01112,Q06481
Q9Y5K5,P08727
Q13616,P31942
P14866,O75674
Q12952,P54253
P61513,Q96AG4
Q9ULD4,P51784
P62263,Q9HCE5
P19544,Q5TBB1
Q14142,Q15555
P02786,Q9UBS4
Q13618,Q86VP6
P20648,P58499
Q13227,A5D8V6
Q92858,O00764
Q9UJU6,Q96AP0
P60953,P61073
P13473,Q8TBZ3
Q13557,Q96JN8
P04271,Q96CP2
O75530,Q09028
Q8WVK2,O95202
P10599,P09622
Q9Y305,P10176
Q3V6T2,Q9UPY8
P02533,P01857
P31483,O95376
Q05513,Q86VP6
Q9P0I2,Q9NPA0
Q8IUR7,Q99988
P56945,Q9H329
Q8WY36,Q13247
P01106,Q8NAV1
Q9Y3I1,Q9NRW3
Q969G3,P62333
Q8TAM1,Q6ZW61
Q9BRX9,Q86VQ0
Q6NYC1,Q8N9E0
P56181,P03905
Q7KZ85,O15121
Q96T76,Q9UBQ5
Q9Y4E8,Q13033
Q9Y2P4,Q4KMZ8
Q8NHQ1,Q8WWY3
Q9NUG6,O75665
Q8TBB1,O95471
Q8TBP5,Q69YG0
Q07666,Q14839
O43521,P42898
Q9ULC0,A1L390
Q96FJ2,O94986
P62993,P08238
P49736,Q15437
P30101,O15232
Q9UKT9,Q2WGJ6
O15118,Q93050
Q96S59,Q9H832
Q99661,Q9Y388
Q1KMD3,O15042
Q9H0R8,Q9UKV8
P27361,Q16836
P27986,P19235
Q9ULV4,P36776
P63000,Q8WTV1
Q5HYI8,Q9BTX3
P27348,Q676U5
P38646,O94761
Q92731,P61981
O95711,Q8N5C7
P35568,P54646
Q9UHW9,Q96GR4
O60884,Q13137
Q658P3,Q9P2W7
Q96J88,Q03426
P31943,Q5FWF6
Q9P2J5,Q9UI95
Q8NFZ5,Q9NNW5
P63096,O14842
P15408,O94762
P17302,P05388
P09651,P43490
P07910,Q00839
Q8IW35,Q96AX1
Q9HC98,Q86T90
Q13616,P28070
P15121,P49773
O15143,P15927
O43541,P61626
P04637,P78368
Q01844,P35638
Q02750,P36894
P14770,Q86UL3
P42166,Q9NZJ5
O94826,Q8N6M6
P63000,Q9NRG9
Q9H2C0,P98161
P50542,Q9UJC3
Q15717,Q15233
P02458,Q12794
P26641,O94761
P55081,Q2TAY7
Q8TDD2,Q8IY57
P58546,P04080
O95166,Q14145
P05109,O60383
P09622,Q16763
P51693,Q96BR1
P62877,P20248
P35914,Q05932
P30304,Q13126
P04808,P17050
Q8IXI1,Q7L311
Q9NP66,Q3T8J9
Q5VVX9,A5D8V6
Q9H3G5,P57682
P25791,P60409
Q96ED9,Q96KS9
Q5H9R7,Q9BSI4
P08133,Q9NRF9
Q13683,Q13508
Q99962,Q9HBZ2
P68431,O43395
Q13077,P00540
Q8IZU0,P07093
Q14318,P49674
P60709,P38919
P61964,P61006
Q13616,Q9Y3I0
P52272,Q9BZE1
P31749,Q96S79
P49184,Q495W5
Q09472,Q13243
Q9Y5M8,Q96PC5
Q99496,Q8N1G0
P05091,Q6IN84
Q658P3,Q9HCJ2
P19012,P78385
Q15029,Q8TEQ6
Q99728,Q16778
P07900,Q09013
Q12888,Q9UJX3
O15357,Q9NVZ3
Q96PN7,P34897
P27695,P13929
P49458,Q96P16
P03372,O75925
P27986,P10828
O95793,P50213
O43707,P57105
Q07812,A6H8Y1
Q14258,P49755
P27694,P33993
Q9Y2R5,Q9NVH6
P48552,Q9UKV0
Q16539,Q93096
Q03188,Q9NVM6
O43586,P47914
Q16778,Q71DI3
Q16740,Q9HD34
Q9NQZ2,P22612
Q9Y3D9,Q8TDD2
P62877,Q9Y597
Q9Y230,Q8WTW4
P04843,Q6NTF9
P01116,Q9GZR7
Q9UBN7,P31749
P31948,P30837
P17252,P48507
Q9Y5L3,Q9H9S3
P60484,P33992
O75323,Q13825
Q9UK80,Q00536
P57678,Q8WXD5
O95235,Q07020
Q99496,Q9GZR7
Q96QD8,Q9Y3E0
Q6UB35,P49116
Q92630,P23497
Q15796,Q92988
P62258,Q07021
Q9NTW7,Q9Y5Q3
P62424,Q9BQ39
P17480,P05060
Q4VCS5,Q2NKX8
Q9H4M7,O43707
O15155,Q6P3W7
P52798,Q6NXR4
P54652,Q8TCY9
Q5TC82,Q9BYJ9
Q00059,Q9BQ52
O15357,P12236
Q9H6I2,O15164
P63279,Q96CA5
P49639,Q86TH1
Q7L2J0,P22626
Q9Y2I6,P13010
O00308,P14678
Q6IQ23,P54136
Q9H6Z9,P35998
Q14847,O94989
P05388,Q13523
O15400,Q15287
Q13287,Q9BT73
O15393,P27797
P22607,O43768
Q16543,Q8IZL9
Q99952,Q8IXI2
Q86VM9,P35637
Q9Y4K3,Q9NS68
P13073,Q6KCM7
O43559,Q8NEC5
O00322,O75146
Q13573,Q01081
O14715,Q96C01
Q8WXF0,Q9UL40
Q96CS3,P17302
P02458,P08514
Q9H0R8,P00338
Q8NCK7,P04844
P09871,O43897
Q6NUQ1,Q9Y252
Q9H583,O00358
Q13009,P12931
P12830,Q9BW04
O94761,P28331
O15371,Q8WVJ2
P13645,O95295
Q96AY4,O76095
Q58EX7,Q96KS9
P01031,P10643
Q9HCN8,Q9BZ76
Q9UJY1,P09493
Q00610,O60784
P53779,P17535
Q8IWL3,Q9HCM4
P98082,Q96CW1
Q16531,P04908
P24385,P05783
P26373,Q5SSJ5
P51148,Q01082
Q9NW97,Q01970
Q13616,Q02224
Q13243,Q9H944
O95817,Q9P219
P34932,O14776
P26373,Q92901
O43257,Q5TD97
Q6S8J3,Q9NV70
Q4VCS5,Q9UPQ9
P47224,Q7Z7J7
Q12805,Q9BYE3
Q9BRS2,P35268
Q9NQW6,Q8N4C6
P05412,P61626
Q15643,Q969X5
Q9UKK6,Q8WWF6
Q9UGL9,Q5T3J3
Q9BXM7,P35580
O00308,Q9NZI8
Q9NPF0,Q96CE8
P09874,Q8N2W9
Q92879,O75674
Q05516,Q9Y2V7
Q9NRG9,Q9BTX1
Q9NQC7,Q13435
P09429,Q9UKR5
Q12905,P25205
O43172,Q86VP6
Q3B820,A1L4K1
P45983,P17275
Q12955,Q7RTP6
Q9NQC3,P62491
Q13489,P43490
Q6UX40,Q8N661
P08134,Q9Y5Y0
Q13509,Q13838
Q13489,P42166
P17302,A8MVW0
Q13573,O96019
Q07869,P07108
Q9UPY3,Q6K0P9
Q7L2E3,Q9H845
P42694,Q9Y2K5
Q9C0H2,Q8NBZ7
Q9ULM3,Q92540
Q9ULM3,Q6ZWI9
Q15029,Q9GZR7
Q9BVG8,Q9Y2D8
P51617,Q9NPH3
Q9H6Z4,P07476
Q9H3U1,Q12792
P46379,P18433
P04629,P53004
Q86WK6,P32249
P01308,Q9Y2V2
P20333,O43175
Q99614,Q9UPW8
Q16795,Q96E11
Q09666,O14578
P49356,P22413
P14136,P27986
P61289,O75689
Q08174,Q86WN2
Q12933,P48751
Q8IWL3,P35610
P20674,Q14807
Q99933,P11473
Q96KQ7,Q96T88
P0CG08,Q9H015
Q03181,Q15596
Q13263,Q7Z3K3
P62701,P62081
Q86VU5,Q96CB8
P68363,Q8IZT6
P24821,P38646
P48645,O43323
Q01082,Q14203
Q5T700,A0PK00
O00217,P56556
P38398,P49760
Q9Y296,P0DI81
Q5SRI9,Q6P5W5
P52198,Q7Z7G8
O75030,P14679
Q9NZ01,Q9Y6I3
P15153,Q13433
Q8WXH2,Q15286
Q86SG2,Q8WV44
Q969J2,Q96N95
Q9UKV8,Q15650
Q13077,O15111
Q9H0H0,Q14241
P04049,O43852
P28062,P40306
O75083,Q5JS54
Q96EL2,Q13263
Q96RP9,Q9Y2Q9
Q9ULM6,Q9UPQ9
Q9NZB2,Q9NPE2
Q9NS23,Q7Z699
Q9BWL3,Q9NQ34
Q9H0U4,P26374
Q9HBV2,Q8TCX1
P03372,O95747
Q15370,Q6PH85
Q99459,Q9ULR0
Q13304,Q9UFG5
P10809,O75052
P11441,Q9BUZ4
Q9UMX0,Q658K8
Q03405,Q9NXL9
P07307,Q8N661
P08670,P12236
P09467,Q14914
Q9UFB7,Q53GS7
P04637,P15924
P62633,Q9Y6M1
Q07020,P62906
Q969Q1,Q9H4T2
P10398,Q08188
O60885,Q9H4L7
P14625,P05067
O14965,Q16644
P07437,Q9UL54
Q99873,Q8IWZ4
O75530,O14519
Q7Z695,Q2Y0W8
O60921,Q03405
P36897,P33151
Q16643,Q9UNQ0
Q9UQV4,Q99726
P01112,Q14126
O95429,Q9UBB9
Q9H4M7,Q14410
P63000,P98196
Q8IVT5,O00410
P18206,P27986
Q16695,Q9C005
Q8IXQ6,Q14CX7
Q9NRC8,P84101
Q92665,P18621
Q9HB40,Q7Z7A3
Q7KZI7,O75478
P54687,O95428
O00141,Q9Y2V2
Q5MJ10,Q02447
Q7Z4V5,Q5SVZ6
P04637,Q8TDY2
Q6FHJ7,Q9UHQ1
P43353,Q9BQE5
Q9NQ48,P20618
Q8NCK7,P46977
Q14203,Q9BSE2
P32241,Q9H061
P61086,Q96GF1
O95471,Q5J8X5
Q15084,P52655
Q15717,Q8NG11
P67870,Q8IY57
O14578,Q08043
Q8N5L8,Q9P2D0
Q9UK22,Q9H4F1
Q15058,Q02880
P49755,Q9Y3A6
O95235,O75340
P24522,Q9H8E8
P78362,P82932
Q99706,P78527
P61160,Q15527
P49840,Q71UI9
Q15831,O60729
Q13363,O43390
Q99873,P19338
Q9HBH0,O95721
Q9NYY8,Q96A35
P08708,Q13148
Q9H4M7,Q05D32
P49450,Q9UGU5
Q9H8Y8,Q92562
P13569,Q8IXI2
O95235,P48681
Q9UNG2,Q9Y5U5
Q8IX18,Q96L73
P49356,P53609
Q9H7H0,O14974
Q9C0C9,Q92914
P05412,P09211
O60293,Q9UMX1
P00441,O15540
O14735,Q9Y5B0
Q99081,Q9Y4Z2
O15198,Q96EY1
Q9Y639,Q9UIA9
Q9BXW9,P16403
Q9P287,P12955
P35222,Q02978
P31942,Q9BVJ6
Q86WV1,O43824
Q16531,Q9Y5Q3
P13674,P12694
Q7L8L6,Q9Y2R5
P10809,Q9Y676
Q9Y680,Q7Z7M8
Q14258,Q8N431
Q92785,O43763
Q13571,Q92995
P16871,O95183
P24539,P18859
P50402,P19634
Q16643,P29966
Q12824,O43813
Q96AG4,Q9BRK0
Q16799,Q9BY41
Q92769,Q9BZK7
Q9HAT0,Q9NQX0
P07948,Q5SQN1
Q16650,P50219
P12956,Q14839
Q9H4E5,Q9C0D5
Q8NGS6,P01877
Q9HCN8,Q93063
P45880,P00403
P78332,Q7Z5H3
Q12905,Q96E39
Q13501,P82650
Q14103,O75494
Q6NYC1,O15394
Q07157,O00501
P30876,Q8N6T7
P27695,Q9BZG8
P46783,Q9NY93
P63162,Q9H5Z1
Q13485,Q96MW1
O00410,P04554
Q92731,Q96S55
Q9UI26,P46059
Q9NQW6,Q9H6R4
P55209,Q5C9Z4
P32121,Q9Y2T6
P07437,P04350
Q9UKB3,Q8IWU9
P62805,P78344
Q5JTD0,O95678
P24666,Q9H0I9
Q9H270,Q13049
O60941,Q15049
P60900,Q9BT23
P61019,Q9NZI8
Q13115,P43686
Q9BQ95,P36776
Q16637,Q9UGI0
P01116,P00414
P06748,Q14999
P30519,Q9HBW0
Q5T9A4,Q13061
Q6UXN9,Q9Y5P6
Q9UII2,A6NJ78
Q9NQT8,Q5TCZ1
P13674,P42694
P43246,P21281
P33778,P78527
Q6NT76,Q9Y3M9
P35579,O94782
P35222,Q92499
P04637,Q92540
Q99767,Q8N7X4
Q04721,P00750
P61088,O14950
P55084,P10809
Q14160,P46937
P60709,P57737
O60437,P15407
Q99618,Q9BUN8
Q14203,Q8N4C6
P53985,Q9Y4W6
O95994,Q13509
P09382,Q92508
P13612,Q5JXB2
Q8IZU1,Q9NVV9
P04040,O00232
O43889,Q9NTJ5
Q9BVS5,Q9BST9
Q69YN4,P50570
O15353,P10588
P27816,Q99442
Q9Y2I6,Q9UGJ1
P35222,Q92793
Q702N8,Q9BZC7
Q96QE3,P40937
P49736,Q13620
P49459,Q00266
P27824,P05412
P57682,Q9UKL0
Q9UI09,Q96CM3
Q9BXW9,Q9NVP1
P42858,Q9NRD5
Q9NY12,Q9UPE1
P24386,Q9NW08
Q9H0M0,Q92997
Q9BZV1,Q9NRG9
P17948,P49763
Q2M1V0,P27707
Q15029,P51858
Q12851,Q8NCH0
Q07955,P84103
Q9BTV5,P32929
O43613,O43612
O43663,P62280
Q6UX01,Q15276
P06241,Q7Z408
Q9H9D4,Q96GD4
Q9H4E5,Q92536
Q9P0T4,Q8WUH1
Q3ZCQ8,Q9NX40
Q6R327,Q9BY84
P40337,P47914
P47929,Q8N653
P05362,Q9UQ10
P01106,Q14739
Q8WTS6,P47914
Q13635,Q9UBV7
P11362,P36941
Q92499,O95166
Q8TDJ6,O75348
O95817,Q8N2I9
O43663,Q13310
Q14258,Q96M94
Q9NRE1,O95158
P46013,Q12788
Q8TED1,P55061
Q9HAV7,Q6Y2X3
Q5VU43,P49961
O95863,P52756
Q9H6Z9,Q96NZ1
Q5JST6,Q8IWZ5
Q5T686,Q5JS54
Q86VP1,Q99805
O95084,Q6KC79
O00148,Q9UQ49
P35712,Q9UBB5
O95749,P18509
Q15427,Q04837
Q9P015,Q16540
Q9BZF1,Q96F46
Q9NVU7,Q14512
P07951,Q6ZNC4
Q9NQC7,P42025
Q13601,Q9UGY1
Q5R3F8,Q86TI0
P49005,O15460
Q9BT92,Q9NYK6
Q14289,Q9Y2D4
Q96RP9,Q6P1X6
P09651,Q7RTV0
Q9UBM7,Q99608
Q8NFZ5,O95714
Q9Y244,Q6PJQ5
P02751,Q69YN4
Q9ULJ8,P08134
O95071,Q13557
Q9H4H8,Q96D46
P01011,O95968
Q9H8J5,Q14849
Q8WVZ9,P29144
O75386,Q8N7H5
Q07021,P49821
Q4G0J3,Q7Z417
Q969T4,Q99856
Q96KQ4,O14641
P62136,Q7Z7B0
Q13573,P50990
Q9Y3D9,Q32P51
Q96HT8,O00560
Q9H9E3,Q9NX08
Q15005,Q6NUS6
P61586,O60503
O43290,P62308
Q8N448,Q9UKL4
P04279,P05412
P05981,Q9UBV7
O75787,Q401N2
P67775,P35244
O43493,O60716
O14578,P52746
P62987,Q9UK41
O95167,O75800
Q9Y490,Q2M1Z3
Q07627,P50895
P39019,O60563
O00308,O94761
Q9BY67,P60900
P05067,Q5SSJ5
Q15843,P25788
O60356,O43818
O14641,Q9BYI3
Q8WXA8,Q68CQ7
P62837,Q9UPN9
P51991,O14879
O75976,Q9NUM4
P60410,Q14584
Q969G2,Q96F07
P54829,Q8WVC6
O15169,Q8NEL9
P35226,Q5CZC0
Q14258,Q9ULH1
P63165,Q96ME1
P40818,Q9NR09
P84085,Q8TBP5
Q7Z2W9,P13073
Q13155,P11182
P02794,P18428
P17931,Q16563
P08865,O00566
P38398,P43351
Q13643,Q96E11
Q9Y5F2,Q8N394
Q15717,Q15629
P49711,P11233
O95900,Q7L8L6
P19838,P29692
Q9H313,P35670
O43353,P0DPH7
Q9GZX7,Q9Y3B2
Q05209,Q13308
Q96EP0,Q96LR5
P01111,P84077
Q14197,O43674
P11142,Q9UHD2
O14578,O14964
O14628,Q3SXZ3
O95831,Q13505
O14578,Q9BPW8
Q9Y5K6,P30041
P10620,Q6NUS6
P42858,P21980
Q9H6Z9,Q9BTX1
Q9BSJ2,Q7L190
Q96QD9,P0C5Z0
Q9UPY8,Q15185
P41146,O15439
P18124,Q05086
Q13428,Q8ND71
Q8IWZ3,P06703
P06729,P20963
Q96GA3,Q9NPI1
P03372,Q8TCU6
P60468,Q6ZWT7
Q92626,Q05823
Q15717,Q96IK0
P36873,P19387
P05141,O75208
P32245,Q5VV63
Q8TD17,Q75MW2
Q96A37,Q9NYG5
P11940,P60842
P17252,Q02952
P51946,Q6ZYL4
P55072,O15055
O00422,Q8N1F7
Q06830,Q13283
P54652,Q9NUQ3
P13010,O43149
P48651,Q14134
P52198,P11166
Q9HCM9,Q96HQ0
P54840,Q86XI6
Q8N3E9,Q96FV0
P02545,Q8N695
P11166,Q96L92
P43686,P10176
P19438,P12931
P26373,Q9BT49
P27487,O75083
Q7L0Q8,Q9NQE9
Q96QE5,P56556
Q9Y297,Q6PGQ7
P68363,Q9UHJ3
Q96RK0,P40426
Q9H6Z9,Q5C9Z4
Q9BSJ5,O43615
Q9Y6H6,Q8NA72
O43561,Q9Y6X8
P28799,Q8IY57
P17081,Q9BXB4
O95159,P15151
P07737,Q9H0E2
P54105,Q969L4
O00257,Q8NDX5
P00519,P21709
P03950,Q15366
P20290,Q9Y678
P52788,Q92560
P49023,Q0PNE2
Q15843,P22102
P49116,P39060
Q9UBL9,Q9Y680
Q13263,Q14590
Q9H204,Q9UKL0
P63000,P01116
O60341,Q8IZL8
O94992,P13646
P14618,Q9BYT3
Q13257,Q8IWY8
Q86W74,Q00604
Q99871,Q9BZ23
Q96CF2,Q96FS4
Q01726,P08651
Q8IVS2,Q9Y676
Q9C0J8,Q6K0P9
P07737,Q9Y4I1
P42336,P11172
P20339,Q6ZMI0
Q99962,O43295
Q12797,Q8N5I4
P49411,O94925
Q96CV9,Q15125
P09958,P08754
P25440,Q9BYG3
Q9ULK5,Q496J9
Q9UQ88,Q15287
Q69YN4,Q9Y383
Q02833,Q99743
Q9HC29,P24844
P0DJD0,A6NKT7
Q05519,Q9UPE1
P62847,Q9NY61
Q15040,P60410
Q9UGJ0,P51172
Q13501,P50542
Q9HBD1,Q13200
P25098,O43172
P05388,Q7RTS1
Q9NR56,Q96NR8
P80723,P82970
P20073,Q9Y2M0
Q14562,Q92541
O94992,O15371
Q9UBU9,Q8WWB5
Q13418,P46779
Q9ULJ7,Q9UPT8
P62424,P25398
P08134,Q9P2E9
Q7Z699,Q13131
P0DPH7,Q9P2Y4
Q15181,Q9H0W9
P02792,Q9NR48
Q12888,O95453
O43765,Q96SL4
Q15651,P49585
P62195,Q9P0J7
P55273,Q96MA1
P32241,P24390
P08195,P61956
O15205,Q6VN20
Q5JX71,O95968
O75712,P21964
O75643,P61326
P04637,P51668
Q13243,O15226
Q8TBX8,P58546
P06239,O95819
Q9HCN8,P41221
Q13418,P50053
Q92949,Q9UJJ7
P61604,Q8TDX7
Q6X4U4,P12643
P51812,Q9UJY4
O15540,Q9UBM1
Q5SZQ8,P20073
P00441,P05455
P17812,O00273
P54652,Q9P275
Q9NU39,Q8N9W6
O75084,Q92997
P55769,P18583
Q9UKJ3,Q6PIJ6
P05067,Q9NZC2
P30153,Q6UX01
P49674,Q9Y6R9
Q9ULY5,Q08AF3
Q9NQZ6,Q7L3T8
Q9NQS7,P25815
P62847,O43818
Q8NCK7,Q9UN37
Q92597,Q96Q40
P56851,Q86XS8
P22694,P51828
P41743,P62837
O00526,Q96HW7
P29966,Q4KMP7
O43252,Q8N5W8
P51148,Q8N5K1
P10275,Q15583
O60266,Q16281
P61247,Q96GG9
Q16635,Q15165
Q99832,Q9Y3F4
Q9H307,O00541
Q9NYF8,P49760
Q6UXL0,P41273
Q09472,Q9NVP1
Q01082,Q9UMX5
Q9NXG2,Q03692
Q9UQ35,O60942
Q9Y2R9,Q6ZN04
P19784,O00267
O15111,P04350
O00443,Q9ULU8
Q08188,P30838
P34932,Q9UBU9
P98153,Q16842
P61956,Q9HCK8
P09467,P26717
P84085,P31943
Q8N9I0,O00445
Q7L5N1,Q8IYB7
Q15910,P04198
Q96EZ8,P60409
O14744,Q9Y5B0
Q9H2K0,Q9H0R6
P11279,Q92614
Q92614,Q5BJH7
P15498,Q01814
Q5VYK3,O75436
P41146,Q9BVG9
Q9NQC7,Q07065
P09651,Q9Y580
Q00613,O60271
P61254,Q9UNX3
Q96DV4,Q9Y6E7
P63104,Q15691
Q9NRC8,P13667
Q9NR31,Q8NHS1
O75386,Q9H857
Q3ZCM7,Q96JB6
P62304,O15042
P30086,Q9BUL9
O00443,Q6IAA8
P08253,P35442
Q8WWY3,O43290
Q92748,O14965
Q6NUQ1,Q96HB5
P62805,Q06210
P55072,Q1KMD3
Q03135,Q9P0V3
O43290,O00257
P16401,O95478
Q9UNY4,Q9NPI6
Q02543,P83731
P48444,P10109
Q00987,Q9NTG7
P37173,Q9NPF0
Q02878,P50991
Q92625,Q86T90
Q92731,O43852
Q9NYJ8,P15407
Q9NRG0,Q86YR7
P03372,P46940
Q9H8V3,Q69YQ0
P10412,P05204
P14866,O43307
Q13177,P54819
P04629,Q9HAV4
Q86UY6,Q96R06
P15153,Q9NRK6
P02489,O60636
Q9Y4W6,O95696
O14936,Q8N9E0
Q9UGP4,Q9GZT9
O00178,Q16254
Q92565,Q9H4A3
Q14315,Q15021
Q9BVS4,P60900
Q15084,P28827
Q13501,Q14999
Q05925,Q9H0E3
P26599,O75147
Q9UHF3,Q96RL7
Q86XR7,Q92985
Q9H0W5,Q8N9M1
Q9BZR8,Q5T160
P10809,Q96A35
P10451,P78559
Q03518,O43542
P15153,Q9Y2I1
Q96QE5,O60783
Q9UJV3,P28074
Q9Y265,O00506
Q13948,P68431
O14880,P52789
Q96FZ7,P60002
P23468,Q9Y5G7
P51148,Q5KU26
Q9BWN1,Q9UL42
Q15415,Q86T65
P60709,Q9UJZ1
P06748,Q9BR39
P34931,P78380
P52565,Q96PU5
O96006,Q9UBT7
Q9BUF5,Q14999
P07996,P09382
Q9P2P5,P49720
Q13131,Q86V88
Q14254,Q96DA6
Q9ULW3,Q6P158
P11166,Q9UQ90
O00462,Q13361
Q14498,Q13838
Q9BVS4,P62241
P19174,O15056
Q9UJ41,Q96ED9
Q9BYP7,Q9Y3S1
Q9NY93,P25440
Q96HY6,Q9UQ35
Q96SF2,Q8WVC0
P38159,Q6ZNJ1
Q8NBP7,Q6NXE6
P35221,Q9NQ25
P41271,Q8NF64
P50876,Q7Z4K8
Q13304,Q8N201
P38398,O76064
Q7Z4W1,Q5VUE5
Q05655,Q6RW13
Q9NWM3,Q6UXU6
O43795,P38606
Q15942,Q9Y5A9
P15311,Q9NQ48
P61587,Q13492
Q92925,O75521
Q9NP66,Q8N108
Q99986,P46778
Q9Y230,Q9UHR6
O14654,P13473
Q86VS8,P51452
Q96DI7,P83876
P35610,O75477
Q8NCK7,Q9NYU2
Q9Y266,O00423
Q9H6Z9,P40222
P55072,P54252
P35222,Q5XUX0
P11802,P81605
Q6P2Q9,P62280
P62258,Q09161
O60939,Q96KP1
Q7Z6Z7,P08559
P25791,O15255
O43711,O15014
P36873,P60866
P56945,Q15678
P42858,Q96HR3
Q96P63,Q86VF5
O14777,Q68CZ6
P61586,Q86Y07
Q6UWJ1,P55061
P62917,Q96S59
Q69YN4,Q9Y2J2
Q96NT0,Q13488
P02751,P06493
P54707,P29371
Q969H0,Q9ULK4
Q9ULY5,Q5BKZ1
Q96AC1,P27469
O60493,Q96G30
P31943,O95965
Q8TDQ1,Q08708
Q92769,Q3KNW1
P08134,Q9H2G2
Q03135,P27694
O60493,O14593
Q969U6,Q13049
